uid,domainID,siteID,namedLocation,collectDate,sampleID,sampleCode,sampleCondition,laboratoryName,analysisDate,analyzedBy,sampleType,replicate,sampleVolumeFiltered,filterSize,percentFilterAnalyzed,dilutionFactor,solventVolume,responseFactor,acidificationResponseFactor,fluorometerSensitivitySetting,preAcidificationFluorescence,postAcidificationFluorescence,analyte,analyteConcentration,plantAlgaeLabUnits,testMethod,method,acidTreatment,externalRemarks,externalLabDataQF,publicationDate,release
427953a5-f595-4dff-b426-c22db6302e89,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,2,,25,100,,,,,,,,nitrogen,11454.25,microgramsPerLiter,ANSP P-16-54 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
be86ae4f-f5fd-4ae1-b975-3c6fdcfc789f,D03,BARC,BARC.AOS.littoral1,2014-07-02,BARC.20140702.PHYTOPLANKTON.2,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,chlorophyll a,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
3c1f0590-4279-4db7-b381-700b97d0847d,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
5ba32164-9044-4a31-a7dc-15d1268c1772,D03,BARC,BARC.AOS.littoral1,2014-07-02,BARC.20140702.PHYTOPLANKTON.2,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,1,,25,100,,,,,,,,nitrogen,28.18,microgramsPerLiter,ANSP P-16-54 Rev2,,"",single filter,legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
b9bea171-467e-4b15-8541-53530d227906,D03,BARC,BARC.AOS.buoy.c0,2014-07-02,BARC.20140702.PHYTOPLANKTON.1,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,1,,25,100,,,,,,,,nitrogen,26.64,microgramsPerLiter,ANSP P-16-54 Rev2,,"",single filter,legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
bf83bc2a-f9ed-41fa-ba3e-ec1c72798817,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02,BARC.20140702.EPIPHYTON.1,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
61220543-5044-4dbc-8ffb-df22dc4b11ee,D03,BARC,BARC.AOS.littoral1,2014-07-02,BARC.20140702.PHYTOPLANKTON.2,,,Academy of Natural Sciences of Drexel University,2015-03-04,OKgcKejxXbI=,13C15N,1,,25,100,,,,,,,,d15N,6.61,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
dc0cd842-a987-44a2-be60-686902ccfca6,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,2,,25,100,,,,,,,,chlorophyll a,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
aef6ff96-3f25-4592-90ee-5dee5af2c471,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,2,,25,100,,,,,,,,carbon,303731.54,microgramsPerLiter,ANSP P-16-54 Rev2,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
aeea457c-60b4-4d4d-8d84-d43dd461770b,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,2,,25,100,,,,,,,,chlorophyll a,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
1986e58d-dd7d-4838-8b5e-6ebf7eb5235f,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02,BARC.20140702.EPIPHYTON.1,,,Academy of Natural Sciences of Drexel University,2015-03-11,OKgcKejxXbI=,13C15N,2,,25,100,,,,,,,,d13C,-21.19,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
bfffe90e-1db8-4e1c-9725-2a83339b1d16,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2015-03-13,OKgcKejxXbI=,13C15N,2,,25,75,,,,,,,,d13C,-23.19,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
eee4626d-5ca9-45ac-a4c6-23a0da49a237,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,2,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
e48601c1-fb34-43e6-99b4-d0f8b1b6fb60,D03,BARC,BARC.AOS.littoral1,2014-07-02,BARC.20140702.PHYTOPLANKTON.2,,,Academy of Natural Sciences of Drexel University,2015-03-04,OKgcKejxXbI=,13C15N,1,,25,100,,,,,,,,d13C,-33.6,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
69eb172d-e0c4-4b1a-b437-f0c8f8aa6a8d,D03,BARC,BARC.AOS.buoy.c0,2014-07-02,BARC.20140702.PHYTOPLANKTON.1,,,Academy of Natural Sciences of Drexel University,2015-03-13,OKgcKejxXbI=,13C15N,1,,25,100,,,,,,,,d13C,-27.17,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
e0b62a67-5b0c-4b19-87cd-13c2f2246c9d,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,2,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
124d9ecc-ef4e-415c-83a3-2feb11bc52c8,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2015-03-13,OKgcKejxXbI=,13C15N,2,,25,75,,,,,,,,d15N,1.1,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
71b56d09-21b0-4a41-826b-417b69e6cf01,D03,BARC,BARC.AOS.littoral1,2014-07-02,BARC.20140702.PHYTOPLANKTON.2,,,Academy of Natural Sciences of Drexel University,2015-01-28,+IoRzddUq5A=,P,1,,25,100,,,,,,,,phosphorus,4.63,microgramsPerLiter,ANSP P-16-114 Rev2; ANSP P-16_95 Rev3,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
3e8cb38c-48bf-45cd-9cdf-3d463118670c,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2015-03-12,OKgcKejxXbI=,13C15N,1,,25,75,,,,,,,,d13C,-21.17,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
4e8b6d72-dcbd-4467-bf57-b791e4d99ddd,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2015-03-14,P3U2J3I2sLk=,34S,1,,25,100,,,,,,,,d34S,6.66,perMill,SO2 EA-combustion-IRMS method,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
8d455e61-2665-4d82-98d9-268742bdb575,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2015-03-14,P3U2J3I2sLk=,34S,1,,25,100,,,,,,,,d34S,7.23,perMill,SO2 EA-combustion-IRMS method,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
108bd5e9-94e5-4b2d-804a-80e156a0672b,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2015-03-12,OKgcKejxXbI=,13C15N,1,,25,75,,,,,,,,d15N,1.26,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
d4a46c95-6023-4a48-a25d-e237a7926af2,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,2,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
89e3defa-d93e-4891-9f88-45e93b34444f,D03,BARC,BARC.AOS.littoral2,2014-07-02,BARC.20140702.PHYTOPLANKTON.3,,,Academy of Natural Sciences of Drexel University,2015-03-04,OKgcKejxXbI=,13C15N,1,,25,100,,,,,,,,d15N,-3.37,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
68aa4bd0-fb0a-4a54-98db-800d471adc1c,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2015-01-28,+IoRzddUq5A=,P,1,,25,100,,,,,,,,phosphorus,974.8,microgramsPerLiter,ANSP P-16-114 Rev2; ANSP P-16_95 Rev3,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
d6b0637c-768c-42b0-9d98-1605ee1c91b9,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2015-03-12,OKgcKejxXbI=,13C15N,2,,25,75,,,,,,,,d15N,2.02,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
dd199b7d-4e7f-411c-81ad-e67f1875cb38,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,2,,25,100,,,,,,,,nitrogen,8784.24,microgramsPerLiter,ANSP P-16-54 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
b2627689-b93c-40be-afb0-f37f729fc547,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2015-01-28,+IoRzddUq5A=,P,1,,25,100,,,,,,,,phosphorus,1067.2,microgramsPerLiter,ANSP P-16-114 Rev2; ANSP P-16_95 Rev3,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
2fc713a5-16a7-4427-8f96-809ad9fcd999,D03,BARC,BARC.AOS.littoral1,2014-07-02,BARC.20140702.PHYTOPLANKTON.2,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
3ff53bf8-4a03-4978-81f1-97d55d1e9821,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,1,,25,100,,,,,,,,carbon,152271.48,microgramsPerLiter,ANSP P-16-54 Rev2,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
37118e19-bc3a-4231-abb7-53c29621733a,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02,BARC.20140702.EPIPHYTON.1,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,2,,25,100,,,,,,,,nitrogen,7002.61,microgramsPerLiter,ANSP P-16-54 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
53ddfc61-556d-4f75-9278-70c14aa42b68,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,2,,25,100,,,,,,,,nitrogen,25763.4,microgramsPerLiter,ANSP P-16-54 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
95290d5e-1fc2-4140-a16b-e6ab6823af53,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,2,,25,100,,,,,,,,carbon,138179,microgramsPerLiter,ANSP P-16-54 Rev2,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
c620c0c3-2e5e-4617-8932-0efa1c8c2b44,D03,BARC,BARC.AOS.littoral2,2014-07-02,BARC.20140702.PHYTOPLANKTON.3,,,Academy of Natural Sciences of Drexel University,2015-01-28,+IoRzddUq5A=,P,1,,25,100,,,,,,,,phosphorus,6.88,microgramsPerLiter,ANSP P-16-114 Rev2; ANSP P-16_95 Rev3,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
605da719-b0cf-4866-9e4f-959c9241eac0,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
f36bd09a-7677-4ddc-8b5f-3b561b5a07b5,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2015-03-12,OKgcKejxXbI=,13C15N,2,,25,75,,,,,,,,d13C,-19.33,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
8aeee510-2b6b-4aba-ba96-292a3d2b22d1,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02,BARC.20140702.EPIPHYTON.1,,,Academy of Natural Sciences of Drexel University,2015-03-14,P3U2J3I2sLk=,34S,1,,25,100,,,,,,,,d34S,8.02,perMill,SO2 EA-combustion-IRMS method,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
1333055d-787d-4293-b818-a6bc71b4398e,D03,BARC,BARC.AOS.littoral2,2014-07-02,BARC.20140702.PHYTOPLANKTON.3,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,1,,25,100,,,,,,,,carbon,478.22,microgramsPerLiter,ANSP P-16-54 Rev2,,N,single filter,legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
edcf5527-a609-4a59-bd58-12afc26fd67a,D03,BARC,BARC.AOS.buoy.c0,2014-07-02,BARC.20140702.PHYTOPLANKTON.1,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,1,,25,100,,,,,,,,carbon,118.53,microgramsPerLiter,ANSP P-16-54 Rev2,,N,single filter,legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
9da87bac-494e-4d5d-a0c4-b9421c45a021,D03,BARC,BARC.AOS.littoral2,2014-07-02,BARC.20140702.PHYTOPLANKTON.3,,,Academy of Natural Sciences of Drexel University,2015-03-04,OKgcKejxXbI=,13C15N,1,,25,100,,,,,,,,d13C,-28.32,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
2eba249b-7ee3-412b-aed1-f798fa79284f,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2015-03-12,OKgcKejxXbI=,13C15N,1,,25,75,,,,,,,,d13C,-22.86,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
aa3c0cb0-d394-4e8d-bc47-3e73d0bf8450,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02,BARC.20140702.EPIPHYTON.1,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,chlorophyll a,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
2e08a731-e280-43ed-ae50-9930a9fc89e6,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2015-03-12,OKgcKejxXbI=,13C15N,1,,25,75,,,,,,,,d13C,-24.44,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
f7cb0b2e-1d8a-4188-909f-79f830820e03,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2015-01-28,+IoRzddUq5A=,P,1,,25,100,,,,,,,,phosphorus,756.8,microgramsPerLiter,ANSP P-16-114 Rev2; ANSP P-16_95 Rev3,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
23fdf166-9c36-4f15-8605-61600916d76e,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
df856c4b-8e45-40b2-96d6-f7845941422c,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,2,,25,100,,,,,,,,carbon,117645.94,microgramsPerLiter,ANSP P-16-54 Rev2,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
d96980a1-31ce-4686-b3ee-9521f370e66c,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2015-01-28,+IoRzddUq5A=,P,1,,25,100,,,,,,,,phosphorus,2672,microgramsPerLiter,ANSP P-16-114 Rev2; ANSP P-16_95 Rev3,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
60a7bbba-de35-4834-b0bd-8db4c16a03e9,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,chlorophyll a,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
db9486cc-89f2-4730-b9d6-2171d46e1692,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02,BARC.20140702.EPIPHYTON.1,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,2,,25,100,,,,,,,,chlorophyll a,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
c3ec3159-2455-425e-9efc-06fa9e00e863,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,1,,25,100,,,,,,,,nitrogen,9286.35,microgramsPerLiter,ANSP P-16-54 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
