uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,elevation,elevationUncertainty,geodeticDatum,altLocation,altLatitude,altLongitude,altCoordinateUncertainty,altGeodeticDatum,collectDate,aquaticSiteType,samplingImpractical,waterChemSamplesCollected,parentSampleID,eventID,samplerType,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp,swcSamplingProtocolVersion,lowerSegmentDepth,upperSegmentDepth,maxDepth,lakeSampleDepth1,lakeSampleDepth2,aCollectedBy,bCollectedBy,remarks,fieldDataQF,publicationDate,release
c6c03c49-c791-4d75-91b3-784409cfc852,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2015-04-07T14:10Z,lake,,,BARC.IN.20150407,BARC.20150407,Kemmerer,,91.5,54.4,24,NEON.DOC.001190vC,3.1,0,3.1,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,Only sampled for ANC/ALK. Sample depths 1M and 2M.,,20211221T205634Z,RELEASE-2022
24f0b241-aa9b-46c7-885d-0872d16c345b,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2015-04-07T14:30Z,lake,,,BARC.OT.20150407,BARC.20150407,Kemmerer,,84,55.3,23.9,NEON.DOC.001190vC,1.5,0,1.5,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,Only sampled for ANC/ALK. Sample depth 1M.,,20211221T205634Z,RELEASE-2022
c4711d8c-627d-42e8-a142-95a854ee1bdd,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2015-05-20T15:40Z,lake,,,BARC.C0.20150520,BARC.20150520,Kemmerer,,73,57.2,29.1,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,tantony@field-ops.org,,,20211222T043751Z,RELEASE-2022
d2a377c9-16c8-413c-aa62-05154a252925,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2015-05-20T16:05Z,lake,,,BARC.OT.20150520,BARC.20150520,Kemmerer,,73,57.3,28.6,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,tantony@field-ops.org,,,20211222T043751Z,RELEASE-2022
983d60d8-cb72-4ea2-b30b-0d88326290ac,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2015-05-20T16:26Z,lake,,,BARC.IN.20150520,BARC.20150520,Kemmerer,,71.6,57.9,29.9,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,tantony@field-ops.org,,,20211222T043751Z,RELEASE-2022
a8484482-e087-44de-bd32-f8ed4f2d5aca,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2015-07-23T15:10Z,lake,,,BARC.OT.20150723,BARC.20150723,Kemmerer,6.62,90,56.2,31.8,NEON.DOC.002905vA,,,,0.5,,cfoster@neoninc.org,tburlingame@neoninc.org,,,20211221T211509Z,RELEASE-2022
1eb3c865-20c4-41f1-abc1-ce796c5449b7,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2015-07-23T15:10Z,lake,,,BARC.C0.20150723,BARC.20150723,Kemmerer,6.12,83,56.6,31.4,NEON.DOC.002905vA,,,,0.5,,cfoster@neoninc.org,tburlingame@neoninc.org,,,20211221T211509Z,RELEASE-2022
7e6188e3-021f-4f02-adfa-07b4ac0e96fc,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2015-07-23T15:10Z,lake,,,BARC.IN.20150723,BARC.20150723,Kemmerer,6.35,86,56.9,31.5,NEON.DOC.002905vA,,,,0.5,,cfoster@neoninc.org,tburlingame@neoninc.org,,,20211221T211509Z,RELEASE-2022
38919041-bd43-4f4a-a161-ebb057e7c148,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2016-04-07T14:00Z,lake,,,BARC.C0.20160407,BARC.20160407,Kemmerer,7.12,84,50.9,23.5,NEON.DOC.002905vB,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T224648Z,RELEASE-2022
d3f7e7eb-6bf1-4629-8508-fb572378c312,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2016-04-07T15:00Z,lake,,,BARC.IN.20160407,BARC.20160407,Kemmerer,6.6,77.8,49.1,23.5,NEON.DOC.002905vB,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T224648Z,RELEASE-2022
2eb86b01-b62f-48e8-a2f8-50a726ccafb8,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2016-04-07T15:30Z,lake,,,BARC.OT.20160407,BARC.20160407,Kemmerer,7.02,83,48.3,23.6,NEON.DOC.002905vB,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T224648Z,RELEASE-2022
91f2219d-89af-41fe-938b-58e97e1bdd22,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2016-06-14T15:10Z,lake,,,BARC.C0.20160614,BARC.20160614,Kemmerer,5.33,72.2,41.5,31.3,NEON.DOC.002905vC,,,5.3,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T234046Z,RELEASE-2022
5302dc85-55b2-41a9-939a-1fbd382f823b,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2016-06-14T15:30Z,lake,,,BARC.IN.20160614,BARC.20160614,Kemmerer,5.63,77,41.8,31.9,NEON.DOC.002905vC,,,1.5,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T234046Z,RELEASE-2022
c01894df-133a-40a5-9125-a7153b0fe36a,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2016-06-14T15:50Z,lake,,,BARC.OT.20160614,BARC.20160614,Kemmerer,6.24,85.5,42,31.9,NEON.DOC.002905vC,,,1.4,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T234046Z,RELEASE-2022
4b1d46f0-4d3e-4f12-8926-56dc6b26b4c5,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2016-07-06T13:50Z,lake,,,BARC.C0.20160706,BARC.20160706,Kemmerer,6.46,88.4,43.6,32.2,NEON.DOC.002905vC,,,,,,ksandusky@neoninc.org,echartrand@neoninc.org,first attempt at Dissolved Gas Sampling|first attempt at Dissolved Gas Sampling,,20211221T211847Z,RELEASE-2022
6fd37aa6-6c07-4dc6-b305-a3f696a0cd80,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2016-07-06T14:30Z,lake,,,BARC.IN.20160706,BARC.20160706,Kemmerer,5.22,71.6,47.4,32.4,NEON.DOC.002905vC,,,,,,ksandusky@neoninc.org,echartrand@neoninc.org,first attempt at Dissolved Gas Sampling,,20211221T211847Z,RELEASE-2022
2996e6be-b5b6-4982-beb7-ba1acef18772,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2016-07-06T15:10Z,lake,,,BARC.OT.20160706,BARC.20160706,Kemmerer,6.27,78.3,47.2,32.6,NEON.DOC.002905vC,,,,,,ksandusky@neoninc.org,echartrand@neoninc.org,first attempt at Dissolved Gas Sampling,,20211221T211847Z,RELEASE-2022
0fbdc0d9-eb3c-491d-8112-8ed45528125f,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2016-08-10T12:50Z,lake,,,BARC.C0.20160810,BARC.20160810,Kemmerer,5.25,68.5,46.2,29.6,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,filters compromised after being left in cooler after dry ice had sublimated well after 4 hour processing time|filters compromised after being left in cooler after dry ice had sublimated well after 4 hour processing time|collected at boat ramp for processing,,20211222T005000Z,RELEASE-2022
cdf4414d-0982-482d-95cd-02f7bea8ab6d,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2016-08-10T13:20Z,lake,,,BARC.IN.20160810,BARC.20160810,Kemmerer,5.23,68.2,44.3,29.8,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,filters compromised after being left in cooler after dry ice had sublimated well after 4 hour processing time|filters compromised after being left in cooler after dry ice had sublimated well after 4 hour processing time,,20211222T005000Z,RELEASE-2022
25c2cfd1-3310-4d49-90cf-079db6956c27,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2016-08-10T13:48Z,lake,,,BARC.OT.20160810,BARC.20160810,Kemmerer,4.77,62.1,45.1,29.4,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,filters compromised after being left in cooler after dry ice had sublimated well after 4 hour processing time|filters compromised after being left in cooler after dry ice had sublimated well after 4 hour processing time|did not get into the freezer for at least an hour post filtering|issues with manifold retaining water in base and running too slowly to accomidate filter time frame.,,20211222T005000Z,RELEASE-2022
cd183980-ce25-47d8-840c-e7a3db0a135f,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2016-09-07T14:38Z,lake,,,BARC.C0.20160907,BARC.20160907,Kemmerer,6.53,84.2,43,29,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,a lot more algae present in clear water causing filter to clog completely ~250mL|clear water with a lot more suspended algae causing the filter to completely clog at ~250 mL|air collected at boat ramp during processing. Visible condensation in syringe during the 5 min shake despite sitting in the shade,,20211222T035953Z,RELEASE-2022
a5597754-3eba-4e63-a2fd-4f2683610dc8,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2016-09-07T15:04Z,lake,,,BARC.IN.20160907,BARC.20160907,Kemmerer,6.55,84.7,44,29,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,clear water with a lot more algae suspended in it causing the filters to clog quickly|clear water with a lot more algae present causing filter to clog quickly,,20211222T035953Z,RELEASE-2022
f9f5fc24-fc81-4647-b60b-308d0f8f944a,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2016-09-07T15:35Z,lake,,,BARC.OT.20160907,BARC.20160907,Kemmerer,6.89,69.2,44.3,29.2,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,increased amounts of algae causing filter to clog completely at 250mL|increased amount of algae causing filter to clog quickly,,20211222T035953Z,RELEASE-2022
ceb9ce6b-b12d-4ab3-9b2c-947b0acfb517,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2016-10-12T14:25Z,lake,,,BARC.C0.20161012,BARC.20161012,Kemmerer,6.69,80.7,41.2,25.2,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,processing 13:45|processing 13:55,,20211222T025310Z,RELEASE-2022
e487a8cf-3b8f-49a1-a415-246a2967930e,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2016-10-12T14:56Z,lake,,,BARC.IN.20161012,BARC.20161012,Kemmerer,6.94,83.8,41.3,25.2,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,processing 14:18|processing 14:24,,20211222T025310Z,RELEASE-2022
7def4a74-d548-4843-8ec7-f60992dd26c4,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2016-10-12T15:30Z,lake,,,BARC.OT.20161012,BARC.20161012,Kemmerer,7.15,86.1,41.1,25.1,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,processing 14:45|processing 14:52,,20211222T025310Z,RELEASE-2022
d04f86fd-b793-40d5-822d-8f7be920eac4,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2016-11-02T15:05Z,lake,,,BARC.C0.20161102,BARC.20161102,Kemmerer,8.56,101.5,45.6,24.4,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,Actual Collect time: 11:00|Actual Collect time: 12:18,,20211221T220903Z,RELEASE-2022
842fa6de-4fc1-4775-bbcf-2678cbebd244,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2016-11-02T15:30Z,lake,,,BARC.IN.20161102,BARC.20161102,Kemmerer,8.08,96.1,46.3,24.4,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,Actual Collect time: 11:23,,20211221T220903Z,RELEASE-2022
68f530b0-360d-48ba-9b16-52e7dd83c2eb,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2016-11-02T15:58Z,lake,,,BARC.OT.20161102,BARC.20161102,Kemmerer,7.97,94.9,46.6,24.6,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,Actual Collect time: 11:52,,20211221T220903Z,RELEASE-2022
d2998ab0-cb83-4092-a985-c4c041627313,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2016-12-13T15:29Z,lake,,,BARC.IN.20161213,BARC.20161213,Kemmerer,8.3,89.5,44.5,19.2,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T210726Z,RELEASE-2022
256a974b-51d0-42b9-9c16-2be55b08779d,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2016-12-13T16:01Z,lake,,,BARC.OT.20161213,BARC.20161213,Kemmerer,8.21,88.5,44.6,19,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T210726Z,RELEASE-2022
8e7cb32e-088f-477b-b819-6d2fbda92beb,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2016-12-13T16:41Z,lake,,,BARC.C0.20161213,BARC.20161213,Kemmerer,8.48,92.5,46.4,19.3,NEON.DOC.002905vC,,,,0.5,,ksandusky@neoninc.org,echartrand@neoninc.org,,,20211221T210726Z,RELEASE-2022
84592db7-afcb-4113-b019-e97ed3f1d028,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2017-02-01T15:12Z,lake,,,BARC.C0.20170201,BARC.20170201,Kemmerer,9.05,92.6,44.8,16.6,NEON.DOC.002905vC,,,,0.5,,echartrand@neoninc.org,kludwig@field-ops.org,filter warmed|filter warmed,,20211221T224038Z,RELEASE-2022
fa4c542a-6dc7-4927-a321-43237b14f6dd,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2017-02-01T15:47Z,lake,,,BARC.IN.20170201,BARC.20170201,Kemmerer,8.94,91.2,44.7,16.4,NEON.DOC.002905vC,,,,0.5,,echartrand@neoninc.org,kludwig@field-ops.org,filter warmed|filter warmed,,20211221T224038Z,RELEASE-2022
d3676086-c850-4de1-bd87-08170be73a27,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2017-02-01T16:20Z,lake,,,BARC.OT.20170201,BARC.20170201,Kemmerer,7.55,77.2,46.4,16.2,NEON.DOC.002905vC,,,,0.5,,echartrand@neoninc.org,kludwig@field-ops.org,filter warmed|filter warmed,,20211221T224038Z,RELEASE-2022
d541ccbf-6859-4a5f-9fee-71d36e5749d5,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2017-03-09T15:18Z,lake,,,BARC.C0.20170309,BARC.20170309,Kemmerer,8.97,100.5,45,21,NEON.DOC.002905vC,,,,0.5,,echartrand@neoninc.org,kludwig@field-ops.org,filter warmed|filter warmed,,20211221T235957Z,RELEASE-2022
c33d37ab-82f7-43fd-a231-4d58ad9f0e17,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2017-03-09T15:40Z,lake,,,BARC.IN.20170309,BARC.20170309,Kemmerer,7.29,81.7,45.7,20.7,NEON.DOC.002905vC,,,,0.5,,echartrand@neoninc.org,kludwig@field-ops.org,filter warmed|filter warmed,,20211221T235957Z,RELEASE-2022
fb74ae29-b924-4116-9f35-3b5f3e6d6718,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2017-03-09T16:04Z,lake,,,BARC.OT.20170309,BARC.20170309,Kemmerer,6.64,74.7,46,21.2,NEON.DOC.002905vC,,,,0.5,,echartrand@neoninc.org,kludwig@field-ops.org,filter warmed|filter warmed,,20211221T235957Z,RELEASE-2022
7b37e6fa-861b-4eef-b7cf-31021ed20f2a,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2017-04-05T13:53Z,lake,,,BARC.C0.20170405,BARC.20170405,Kemmerer,7.24,86.5,45.2,24.2,NEON.DOC.002905vC,,,4.6,0.5,,echartrand@neoninc.org,jcampbell@field-ops.org,No associated titrations for this collection due to pH probe malfunction at D03 DSF.,,20211222T030732Z,RELEASE-2022
ed8534e2-4ef6-4da6-a983-f16d01c6cfc3,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2017-04-05T14:29Z,lake,,,BARC.IN.20170405,BARC.20170405,Kemmerer,7.46,88.5,45.7,24,NEON.DOC.002905vC,,,0.8,0.5,,echartrand@neoninc.org,jcampbell@field-ops.org,"",,20211222T030732Z,RELEASE-2022
dc8565cb-48fe-4e62-88fd-6b5e2525d050,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2017-04-05T14:55Z,lake,,,BARC.OT.20170405,BARC.20170405,Kemmerer,7.33,86.4,46.8,24.2,NEON.DOC.002905vC,,,0.8,0.5,,echartrand@neoninc.org,jcampbell@field-ops.org,"",,20211222T030732Z,RELEASE-2022
be7ffc35-0ac3-4ccc-84a8-b3e0e1bcdc4b,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2017-05-02T13:45Z,lake,,,BARC.C0.20170502,BARC.20170502,Kemmerer,7.12,90.2,47,27.4,NEON.DOC.002905vD,,,4.3,0.5,,jcampbell@field-ops.org,kludwig@field-ops.org,,,20211222T000117Z,RELEASE-2022
644ab115-3e34-44ef-86c5-9b9fdd5c3a5f,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2017-05-02T14:02Z,lake,,,BARC.IN.20170502,BARC.20170502,Kemmerer,7.4,93.5,47.4,27.2,NEON.DOC.002905vD,,,0.7,0.5,,jcampbell@field-ops.org,kludwig@field-ops.org,,,20211222T000117Z,RELEASE-2022
