"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"swc_asiPOMFieldData","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"swc_asiPOMFieldData","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"swc_domainLabData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"swc_domainLabData","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"swc_domainLabData","siteID","NEON site code","string",NA,"basic","asIs","N",""
"swc_domainLabData","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"swc_domainLabData","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_domainLabData","titrationDate","Date and time of titration","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_domainLabData","parentSampleID","Parent sampleID of sample being processed","string",NA,"basic","asIs","N",""
"swc_domainLabData","domainSampleID","Identifier for sample from domain lab","string",NA,"basic","asIs","Y",""
"swc_domainLabData","domainSampleCode","Barcode of the domain lab sample","string",NA,"basic","asIs","Y",""
"swc_domainLabData","titrationLocation","Location where sample titration was completed","string",NA,"expanded","LOV","N","swc.titrationLocation"
"swc_domainLabData","sampleType","Type of sample","string",NA,"expanded","LOV","N","swc.sampleType"
"swc_domainLabData","initialSamplepH","pH at start of titration","real","pH","expanded","*.##(round)","N",""
"swc_domainLabData","initialSampleTemp","Temperature at start of titration","real","celsius","expanded","*.#(round)","N",""
"swc_domainLabData","normality","Titrant normality used","string","equivalentsPerLiter","expanded","LOV","N","swc.normality"
"swc_domainLabData","sampleVolume","Sample volume in milliliters","real","milliliter","expanded","*.#(round)","N",""
"swc_domainLabData","methodType","Method of titration used","string",NA,"expanded","LOV","N","swc.methodType"
"swc_domainLabData","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"swc_domainLabData","measuredBy","An identifier for the technician who measured or collected the data","string",NA,"basic","asIs","N",""
"swc_domainLabData","alkMeqPerL","alkalinity titration result in milliequivalents per Liter","real","milliequivalentsPerLiter","basic","signif_###(round)","N",""
"swc_domainLabData","alkMgPerL","alkalinity titration result in milligrams of Calcium Carbonate per Liter","real","milligramsPerLiter","basic","signif_###(round)","N",""
"swc_domainLabData","ancMeqPerL","acid neutralizing capacity titration result in milliequivalents per Liter","real","milliequivalentsPerLiter","basic","signif_###(round)","N",""
"swc_domainLabData","ancMgPerL","acid neutralizing capacity titration result in milligrams of Calcium Carbonate per Liter","real","milligramsPerLiter","basic","signif_###(round)","N",""
"swc_domainLabData","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"swc_domainLabData","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"swc_domainLabData","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"swc_externalLabDataByAnalyte","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"swc_externalLabDataByAnalyte","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"swc_externalLabDataByAnalyte","siteID","NEON site code","string",NA,"basic","asIs","N",""
"swc_externalLabDataByAnalyte","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"swc_externalLabDataByAnalyte","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"swc_externalLabDataByAnalyte","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"swc_externalLabDataByAnalyte","startDate","The start date-time or interval during which an event occurred","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_externalLabDataByAnalyte","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_externalLabDataByAnalyte","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"swc_externalLabDataByAnalyte","analyte","Analyte or parameter measured","string",NA,"basic","LOV","Y","wc.analyte"
"swc_externalLabDataByAnalyte","analyteConcentration","Concentration of analyte","real",NA,"basic","*.####(round)","N",""
"swc_externalLabDataByAnalyte","analyteUnits","Associated units of measure for analyte","string",NA,"basic","LOV","N","wc.analyteUnits"
"swc_externalLabDataByAnalyte","belowDetectionQF","Quality Flag indicating that at least one of the parameters in this record is below the method detection limit","string",NA,"basic","LOV","N","wc.belowDetectionQF"
"swc_externalLabDataByAnalyte","coolerTemp","Temperature of the cooler when the sample arrived at the external lab","real","celsius","basic","*.#(round)","N",""
"swc_externalLabDataByAnalyte","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"swc_externalLabDataByAnalyte","shipmentWarmQF","Quality Flag for cooler arriving at external lab too warm (above 6 C)","real",NA,"basic","integer","N",""
"swc_externalLabDataByAnalyte","externalLabDataQF","Data quality flag for external lab data","string",NA,"basic","asIs","N",""
"swc_externalLabDataByAnalyte","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","wc.sampleCondition"
"swc_externalLabDataByAnalyte","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"swc_externalLabDataByAnalyte","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"swc_externalLabSummaryData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"swc_externalLabSummaryData","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","Y",""
"swc_externalLabSummaryData","startDate","The start date-time or interval during which an event occurred","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"swc_externalLabSummaryData","endDate","The end date-time or interval during which an event occurred","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"swc_externalLabSummaryData","analyte","Analyte or parameter measured","string",NA,"expanded","LOV","Y","wc.analyte"
"swc_externalLabSummaryData","instrument","Type of instrument used for the analysis","string",NA,"expanded","asIs","Y",""
"swc_externalLabSummaryData","method","Published method used for analysis","string",NA,"expanded","asIs","Y",""
"swc_externalLabSummaryData","methodModification","Any remarks on modifications to published methods","string",NA,"expanded","asIs","N",""
"swc_externalLabSummaryData","methodDetectionLimit","Detection limit for method used","real",NA,"expanded","*.###(round)","N",""
"swc_externalLabSummaryData","analyteUnits","Associated units of measure for analyte","string",NA,"expanded","LOV","N","wc.analyteUnits"
"swc_externalLabSummaryData","precision","Closeness of agreement between indications or measured quantity values obtained by replicate measurements on the same or similar objects under specified conditions","real",NA,"expanded","*.###(round)","N",""
"swc_externalLabSummaryData","precisionRepeatabilityUnits","Units for closeness of agreement between indications or measured quantity values obtained by replicate measurements on the same or similar objects under specified conditions","string",NA,"expanded","LOV","N","wc.summaryUnits"
"swc_externalLabSummaryData","absorbancePrecision","Closeness of agreement between indications or measured quantity values obtained by replicate measurements on the same or similar objects under specified conditions for absorbance","string",NA,"expanded","asIs","N",""
"swc_externalLabSummaryData","measurementUncertainty","Parameter, associated with the result of a measurement, that characterizes the dispersion of the values that could reasonably be attributed to the measurant","real",NA,"expanded","*.###(round)","N",""
"swc_externalLabSummaryData","measurementUncertaintyUnits","Units of measurement uncertainty","string",NA,"expanded","LOV","N","wc.summaryUnits"
"swc_externalLabSummaryData","internalLabName","Name of internal laboratory or facility that is processing the sample","string",NA,"expanded","asIs","N",""
"swc_externalLabSummaryData","labSpecificStartDate","Date a specific analyte, instrument, and associated method detection limit combination started","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"swc_externalLabSummaryData","labSpecificEndDate","Date a specific analyte, instrument, and associated method detection limit combination ended","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"swc_fieldData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"swc_fieldData","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"swc_fieldData","siteID","NEON site code","string",NA,"basic","asIs","N",""
"swc_fieldData","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"swc_fieldData","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_fieldData","parentSampleID","Parent sampleID of sample being processed","string",NA,"basic","asIs","N",""
"swc_fieldData","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","sampleCondition"
"swc_fieldData","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"swc_fieldData","replicateNumber","The number for the sample replicate","integer",NA,"basic","integer","N",""
"swc_fieldData","processedDate","Date or date and time of processing event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_fieldData","processedDateFilters","Date or date and time of processing event of filtered samples","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_fieldData","sampleVolumeFiltered","Volume of water filtered onto the filter for external analysis","real","milliliter","basic","*.#(round)","N",""
"swc_fieldData","shipmentTimeRange","Indicates time delay between sample collection and shipment","string",NA,"basic","LOV","N","swc.shipmentRange"
"swc_fieldData","filtSampleCond","Condition of filtered sample","string",NA,"basic","LOV","N","sampleCondition"
"swc_fieldData","filtSampleID","Identifier for filtered sample","string",NA,"basic","asIs","N",""
"swc_fieldData","filtSampleCode","Barcode of a filtered sample","string",NA,"basic","asIs","N",""
"swc_fieldData","filtNutSampleCond","Condition of a filtered nutrient sample","string",NA,"basic","LOV","N","sampleCondition"
"swc_fieldData","filtNutSampleID","Identifier for filtered nutrient sample","string",NA,"basic","asIs","N",""
"swc_fieldData","filtNutSampleBarcode","Barcode of a filtered nutrient sample","string",NA,"basic","asIs","N",""
"swc_fieldData","rawSampleCond","Condition of a raw whole water sample","string",NA,"basic","LOV","N","sampleCondition"
"swc_fieldData","rawSampleID","Identifier for raw whole water sample","string",NA,"basic","asIs","N",""
"swc_fieldData","rawSampleCode","Barcode of a raw whole water sample","string",NA,"basic","asIs","N",""
"swc_fieldData","rawNutSampleCond","Condition of a raw nutrient sample","string",NA,"basic","LOV","N","sampleCondition"
"swc_fieldData","rawNutSampleID","Identifier for raw nutrient sample","string",NA,"basic","asIs","N",""
"swc_fieldData","rawNutSampleBarcode","Barcode of a raw nutrient sample","string",NA,"basic","asIs","N",""
"swc_fieldData","pcnSampleCond","Condition of a particulate carbon and nitrogen sample","string",NA,"basic","LOV","N","sampleCondition"
"swc_fieldData","pcnSampleID","Identifier for particulate carbon and nitrogen sample","string",NA,"basic","asIs","N",""
"swc_fieldData","pcnSampleCode","Barcode of a particulate carbon and nitrogen sample","string",NA,"basic","asIs","N",""
"swc_fieldData","fieldDataQF","Data quality flag for field data","string",NA,"basic","asIs","N",""
"swc_fieldData","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"swc_fieldData","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"swc_fieldSuperParent","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","siteID","NEON site code","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","decimalLatitude","The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"swc_fieldSuperParent","decimalLongitude","The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"swc_fieldSuperParent","coordinateUncertainty","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","additionalCoordUncertainty","Additional uncertainty to be added to the coordinate uncertainty at all sites","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","elevation","Elevation (in meters) above sea level","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","elevationUncertainty","Uncertainty in elevation values (in meters)","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","geodeticDatum","Model used to measure horizontal position on the earth","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","altLocation","Alternate Sampling Location description","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","altLatitude","Alternate Sampling Location coordinate - latitude","real","decimalDegree","basic","*.######(round)","N",""
"swc_fieldSuperParent","altLongitude","Alternate Sampling Location coordinate - longitude","real","decimalDegree","basic","*.######(round)","N",""
"swc_fieldSuperParent","altCoordinateUncertainty","The horizontal distance (in meters) from the given altLatitude and altLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","altGeodeticDatum","Model used to measure horizontal position on the earth for alternate location coordinate","string",NA,"basic","LOV","N","altGeodeticDatum"
"swc_fieldSuperParent","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_fieldSuperParent","aquaticSiteType","Type of aquatic site, includes lake, river or stream","string",NA,"basic","LOV","N","aquaticSiteType"
"swc_fieldSuperParent","samplingImpractical","Samples and/or measurements were not collected due to the indicated circumstance","string",NA,"basic","LOV","N","samplingImpractical"
"swc_fieldSuperParent","waterChemSamplesCollected","Indicator of whether any water chemistry samples were collected","string",NA,"basic","LOV","N","swc.sampleCollected"
"swc_fieldSuperParent","parentSampleID","Parent sampleID of sample being processed","string",NA,"basic","asIs","Y",""
"swc_fieldSuperParent","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","samplerType","Type of sampler used to collect the sample","string",NA,"basic","LOV","N","swc.waterSamplerType"
"swc_fieldSuperParent","dissolvedOxygen","Dissolved Oxygen Concentration","real","milligramsPerLiter","basic","*.##(round)","N",""
"swc_fieldSuperParent","dissolvedOxygenSaturation","Dissolved Oxygen Percent Saturation","real","percent","basic","*.##(round)","N",""
"swc_fieldSuperParent","specificConductance","Conductivity auto-corrected to 25 degrees C","real","microsiemensPerCentimeter","basic","*.##(round)","N",""
"swc_fieldSuperParent","waterTemp","Temperature of water (C)","real","celsius","basic","*.##(round)","N",""
"swc_fieldSuperParent","swcSamplingProtocolVersion","The NEON document number and version of the water chemistry protocol where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","swc.samplingProtocolVersion"
"swc_fieldSuperParent","lowerSegmentDepth","Depth at bottom of stratified lake segment","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","upperSegmentDepth","Depth at top of stratified lake segment","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","maxDepth","Maximum depth","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","lakeSampleDepth1","Sample depth of a single lake sample collected below the surface; the sample depth of the upper sample for a composite lake sample collected below the surface","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","lakeSampleDepth2","Sample depth of the lower sample for a composite lake sample collected below the surface","real","meter","basic","*.#(round)","N",""
"swc_fieldSuperParent","aCollectedBy","Primary NEON technician username who collected the data","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","bCollectedBy","Secondary NEON technician username who collected the data","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","fieldDataQF","Data quality flag for field data","string",NA,"basic","asIs","N",""
"swc_fieldSuperParent","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"swc_fieldSuperParent","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
