Obs_Id,lagoslakeid,ActivityStartDate,ActivityConductingOrganizationText,OrganizationFormalName,CharacteristicName,source_parameter,ResultMeasureValue,source_value,source_unit,Conversion,DetectionQuantitationLimitMeasure.MeasureValue,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodIdentifier,MethodDescriptionText,ActivityCommentText,wqp_monitoringlocationname
NM-21972,453883,1987-08-04,U.S. Geological Survey-Water Resources Discipline,USGS New Mexico Water Science Center,"Calcium, dissolved",Calcium,660,660,mg/l,1,660,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"ZUNI SALT LAKE NR QUEMADO, NM"
TX-833102,448476,1987-10-22,Organization other than U.S. Geological Survey,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,560,560,mg/l,1,560,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-1201675,398691,1987-11-24,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk nr Truscott, TX"
MO-348978,98287,1987-12-02,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,550,550,mg/l,1,550,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,RAFFINATE PIT NO.3
MO-349115,98287,1987-12-09,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),1500000,1500,mg/l as N,1000,1500000,USGS,CL045,"USGS OF 93-125, p 157",NO2 + NO3 VERIFIED BY ANALYST,RAFFINATE PIT NO.3
ND-1367788,353802,1987-12-17,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Oxygen, dissolved",Oxygen,25.5,25.5,mg/l,1,25.5,NA,NA,NA,NA,ARROWWOOD LK OUTFLOW SITE
TX-1180175,448476,1988-01-12,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,500,500,mg/l,1,500,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-1032811,448476,1988-01-12,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
TX-1085615,398691,1988-02-02,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk nr Truscott, TX"
FL-4084561,184266,1988-03-02,NA,Orange County Environmental Protection (Florida),"Oxygen, dissolved",Dissolved oxygen (DO),110,110,mg/l,1,110,USEPA,360.2,NA,NA,Apopka (Two Story Pump.)
MO-347894,98287,1988-04-04,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,410,410,mg/l,1,410,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,RAFFINATE PIT NO.3
MO-347891,98287,1988-04-04,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),990000,990,mg/l as N,1000,990000,USGS,CL045,"USGS OF 93-125, p 157",NA,RAFFINATE PIT NO.3
TX-746338,398691,1988-04-20,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,550,550,mg/l,1,550,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk nr Truscott, TX"
AR-597620,409269,1988-04-26,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS Arkansas Water Science Center,"Oxygen, dissolved",Oxygen,54.6,54.6,mg/l,1,54.6,NA,NA,NA,NA,"DIERKS LAKE NR DIERKS , AR"
TX-619889,448476,1988-04-26,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,570,570,mg/l,1,570,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-728635,448476,1988-04-26,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
TX-398015,398691,1988-05-17,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-211759,398691,1988-05-17,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,560,560,mg/l,1,560,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-908760,398691,1988-05-17,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-937468,398691,1988-05-17,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-865739,398691,1988-05-17,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,530,530,mg/l,1,530,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-225106,398691,1988-05-17,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,530,530,mg/l,1,530,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-229988,398691,1988-05-17,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,530,530,mg/l,1,530,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-296623,398691,1988-05-17,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
MO-347709,98287,1988-06-16,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,490,490,mg/l,1,490,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,RAFFINATE PIT NO.3
MO-347704,98287,1988-06-16,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2)",Nitrite,5500,5.50,mg/l as N,1000,5500,USGS,CL040,"USGS OF 93-125, p 143",NA,RAFFINATE PIT NO.3
MO-347706,98287,1988-06-16,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),1400000,1400,mg/l as N,1000,1400000,USGS,CL045,"USGS OF 93-125, p 157",NA,RAFFINATE PIT NO.3
TX-236568,398691,1988-07-11,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,710,710,mg/l,1,710,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk nr Truscott, TX"
TX-610998,448476,1988-07-21,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,590,590,mg/l,1,590,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-84502,448476,1988-07-21,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,450,450,mg/l,1,450,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
ND-533775,314256,1988-07-21,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Oxygen, dissolved",Oxygen,25.3,25.3,mg/l,1,25.3,NA,NA,NA,NA,DEVILS LAKE MINNEWAUKAN FLATS (TH6B)
AR-341849,375816,1988-08-15,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS Arkansas Water Science Center,"Oxygen, dissolved",Oxygen,41,41.0,mg/l,1,41,NA,NA,NA,NA,GREERS FERRY LK NR EDEN ISLE AR
TX-74335,398691,1988-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,660,660,mg/l,1,660,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-859204,398691,1988-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,650,650,mg/l,1,650,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-580999,398691,1988-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,650,650,mg/l,1,650,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
