lagoslakeid,sample_date,sample_id,parameter_id,parameter_name,parameter_value,parameter_detectionlimit_value,censorcode,sample_depth_m,cluster_id,cluster_lat_dd,cluster_lon_dd,source_id,source_sample_type,source_sample_siteid,source_name,source_activityorg_name,source_activityid,source_comments,source_parameter_name,source_parameter_value,source_parameter_unit,source_value_qualifiercode,parameter_conversionfactor,source_detectionlimit_value,source_detectionlimit_unit,parameter_detectionlimit_conversionfactor,source_detectionlimit_condition,source_detectionlimit_type,source_labmethod_usgspcode,source_labmethod_description,source_labmethod_id,source_labmethod_name,source_labmethod_qualifier,source_samplesite_lat_dd,source_samplesite_lon_dd,lagos_epi_assignment
378184,1987-09-09,KS-39900,38,"Atrazine, total",1.2,1.2,LE5,0.5,378184-AA,37.84644,-96.81276,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM033001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM03300119870909152500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.84644,-96.81276,1
376907,1987-09-10,KS-109654,38,"Atrazine, total",1.2,1.2,LE5,0.5,376907-AG,37.72647,-97.79866,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM017001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01700119870910101000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.72647,-97.79866,1
367585,1988-06-20,KS-100264,38,"Atrazine, total",1.2,1.2,LE5,0.5,367585-AA,39.89236,-98.03427,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM015001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01500119880620124500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.89236,-98.03427,1
369331,1988-06-20,KS-18603,38,"Atrazine, total",2.8,NA,NC4,0.5,369331-BO,39.08056,-96.90278,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM019001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01900119880620080000.5,NA,Atrazine,2.8,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.08056,-96.90278,1
369860,1988-06-27,KS-39246,38,"Atrazine, total",1.2,1.2,LE5,0.5,369860-AA,38.96517,-98.49432,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM014001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01400119880627142000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.96517,-98.49432,1
370560,1988-06-27,KS-7362,38,"Atrazine, total",1.2,1.2,LE5,0.5,370560-AA,38.61222,-97.97389,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM016001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01600119880627104500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.61222,-97.97389,1
370277,1988-06-28,KS-64088,38,"Atrazine, total",1.2,1.2,LE5,0.5,370277-AA,38.79106,-99.73566,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM013001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01300119880628081500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.79106,-99.73566,1
377413,1988-07-27,KS-77212,38,"Atrazine, total",1.2,1.2,LE5,0.5,377413-AB,37.3534,-96.8885,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM050801,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM05080119880727085500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.3534,-96.8885,1
40393,1988-08-08,KS-64997,38,"Atrazine, total",1.2,1.2,LE5,0.5,40393-AA,38.1275,-94.89056,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM051401,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM05140119880808110000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.1275,-94.89056,1
384023,1988-08-15,KS-49335,38,"Atrazine, total",1.2,1.2,LE5,0.5,384023-AA,38.10683,-96.14793,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM051801,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM05180119880815100500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.10683,-96.14793,1
125419,1988-08-22,KS-33897,38,"Atrazine, total",1.2,1.2,LE5,0.5,125419-AA,39.16527,-94.7775,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM042401,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM04240119880822112500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.16527,-94.7775,1
346442,1989-02-16,SD-233765,38,"Atrazine, total",0.1,0.1,LE5,0,346442-AA,43.1745,-99.2608,SDDENR_WQX,INFERRED,SDDENR_WQX-BURKEZZBL05,DENR,NA,SDDENR_WQX-54453W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,43.1745,-99.2608,1
346442,1989-02-16,SD-341546,38,"Atrazine, total",0.1,0.1,LE5,0,346442-AB,43.1763,-99.2588,SDDENR_WQX,INFERRED,SDDENR_WQX-BURKEZZBL06,DENR,NA,SDDENR_WQX-54580W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,43.1763,-99.2588,1
356292,1989-03-09,SD-377549,38,"Atrazine, total",0.1,0.1,LE5,0,356292-AA,45.3516,-97.3104,SDDENR_WQX,INFERRED,SDDENR_WQX-BDENEMYBDL01,DENR,NA,SDDENR_WQX-50355W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,45.3516,-97.3104,1
126133,1989-03-15,SD-357480,38,"Atrazine, total",0.1,0.1,LE5,0,126133-AA,44.6062,-96.4772,SDDENR_WQX,INFERRED,SDDENR_WQX-FISHALIFL01,DENR,NA,SDDENR_WQX-58775W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,44.6062,-96.4772,1
334231,1989-04-06,SD-516976,38,"Atrazine, total",0.1,0.1,LE5,0,334231-AA,43.971907,-103.46077,SDDENR_WQX,INFERRED,SDDENR_WQX-SHER89ELUT,DENR,NA,SDDENR_WQX-70755W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,43.971907,-103.46077,1
334724,1989-04-26,SD-579883,38,"Atrazine, total",0.1,0.1,LE5,0,334724-AA,44.198932,-103.659839,SDDENR_WQX,INFERRED,SDDENR_WQX-ROUB89ELUT,DENR,NA,SDDENR_WQX-70059W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,44.198932,-103.659839,1
385060,1989-06-06,KS-7141,38,"Atrazine, total",1.2,1.2,LE5,0.5,385060-AA,37.7416,-95.91536,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM024001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02400119890606130000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.7416,-95.91536,1
382704,1989-06-07,KS-60565,38,"Atrazine, total",1.2,1.2,LE5,0.5,382704-AA,37.27654,-95.7923,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM025001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02500119890607101500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.27654,-95.7923,1
367583,1989-06-28,KS-98932,38,"Atrazine, total",1.2,1.2,LE5,0.5,367583-AA,39.80569,-99.93584,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM010001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01000119890628141000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.80569,-99.93584,1
370141,1989-06-28,KS-35800,38,"Atrazine, total",1.2,1.2,LE5,0.5,370141-AA,39.66212,-99.13156,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM011001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01100119890628101500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.66212,-99.13156,1
371149,1989-07-28,KS-115763,38,"Atrazine, total",1.2,NA,NC4,0.5,371149-AA,38.80417,-95.15832,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM011301,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01130119890728134500.5,NA,Atrazine,1.2,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.80417,-95.15832,1
357451,1990-01-19,SD-585971,38,"Atrazine, total",0.1,0.1,LE5,0,357451-AB,42.5445,-96.5092,SDDENR_WQX,INFERRED,SDDENR_WQX-MCCOOKZML02,DENR,NA,SDDENR_WQX-65420W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,42.5445,-96.5092,1
1949,1990-03-13,SD-359284,38,"Atrazine, total",0.1,0.1,LE5,0,1949-AA,44.4957,-96.4582,SDDENR_WQX,INFERRED,SDDENR_WQX-HENDRICHL02,DENR,NA,SDDENR_WQX-60248W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,44.4957,-96.4582,1
114824,1990-03-14,SD-335118,38,"Atrazine, total",0.1,0.1,LE5,0,114824-AB,43.9236,-96.9549,SDDENR_WQX,INFERRED,SDDENR_WQX-MADBRANBL04,DENR,NA,SDDENR_WQX-64145W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,43.9236,-96.9549,1
355430,1990-03-14,SD-327979,38,"Atrazine, total",0.1,0.1,LE5,0,355430-AB,43.2208,-97.0958,SDDENR_WQX,INFERRED,SDDENR_WQX-SWAN61ZSL06,DENR,NA,SDDENR_WQX-72118W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,43.2208,-97.0958,1
378184,1990-06-04,KS-37275,38,"Atrazine, total",1.2,1.2,LE5,0.5,378184-AA,37.84644,-96.81276,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM033001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM03300119900604165000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.84644,-96.81276,1
376907,1990-06-05,KS-69705,38,"Atrazine, total",6.3,6.3,LE5,0.5,376907-AG,37.72647,-97.79866,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM017001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01700119900605095500.5,NA,Atrazine,NA,ug/l,NA,1,6.3,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.72647,-97.79866,1
374862,1990-06-11,KS-59361,38,"Atrazine, total",1.2,1.2,LE5,0.5,374862-AA,38.5142,-95.71925,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM027001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02700119900611101500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.5142,-95.71925,1
374604,1990-06-11,KS-106242,38,"Atrazine, total",2.5,NA,NC4,0.5,374604-AA,38.65937,-95.55464,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM028001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02800119900611131000.5,NA,Atrazine,2.5,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.65937,-95.55464,1
373647,1990-06-21,KS-86600,38,"Atrazine, total",1.2,1.2,LE5,0.5,373647-AA,39.00791,-95.62343,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM012201,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01220119900621090000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.00791,-95.62343,1
352427,1990-06-25,SD-343273,38,"Atrazine, total",0.1,0.1,LE5,0,352427-AB,44.5669,-98.1494,SDDENR_WQX,INFERRED,SDDENR_WQX-BYRONZZLB06,DENR,NA,SDDENR_WQX-54757W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,44.5669,-98.1494,1
378457,1990-06-26,KS-29945,38,"Atrazine, total",1.2,1.2,LE5,0.5,378457-AA,38.06713,-100.5634,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM053601,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM05360119900626100000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.06713,-100.5634,1
352427,1990-06-26,SD-225716,38,"Atrazine, total",0.1,0.1,LE5,0,352427-AC,44.5678,-98.1333,SDDENR_WQX,INFERRED,SDDENR_WQX-BYRONZZLB05,DENR,NA,SDDENR_WQX-54735W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,44.5678,-98.1333,1
378799,1990-06-27,KS-86543,38,"Atrazine, total",1.2,1.2,LE5,0.5,378799-AA,37.38747,-99.78252,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM010101,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01010119900627115000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.38747,-99.78252,1
344386,1990-06-27,SD-384558,38,"Atrazine, total",0.1,0.1,LE5,0,344386-AA,43.213,-98.42,SDDENR_WQX,INFERRED,SDDENR_WQX-ANDESZZLA08,DENR,NA,SDDENR_WQX-49680W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,43.213,-98.42,1
344386,1990-06-27,SD-325793,38,"Atrazine, total",0.1,0.1,LE5,0,344386-AB,43.1583,-98.5053,SDDENR_WQX,INFERRED,SDDENR_WQX-ANDESZZLA10,DENR,NA,SDDENR_WQX-49782W,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,43.1583,-98.5053,1
71445,1990-08-14,KS-41424,38,"Atrazine, total",1.2,1.2,LE5,0.5,71445-AA,37.75434,-94.85912,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM044801,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM04480119900814111500.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.75434,-94.85912,1
72453,1990-08-14,KS-91492,38,"Atrazine, total",6.2,6.2,LE5,0.5,72453-AA,37.81237,-94.75098,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM045201,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM04520119900814094500.5,NA,Atrazine,NA,ug/l,NA,1,6.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.81237,-94.75098,1
378183,1990-08-21,KS-32801,38,"Atrazine, total",1.2,1.2,LE5,0.5,378183-AA,37.70134,-97.05255,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM041601,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM04160119900821082000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.70134,-97.05255,1
369586,1991-06-03,KS-31145,38,"Atrazine, total",2.5,NA,NC4,0.5,369586-AA,38.65978,-97.01323,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM047201,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM04720119910603105500.5,NA,Atrazine,2.5,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.65978,-97.01323,1
372628,1991-06-10,KS-39808,38,"Atrazine, total",6,NA,NC4,0.5,372628-AC,39.11896,-95.42748,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM029001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02900119910610122500.5,NA,Atrazine,6,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.11896,-95.42748,1
372121,1991-06-10,KS-30898,38,"Atrazine, total",2.6,NA,NC4,0.5,372121-AA,38.92065,-95.34428,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM030001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM03000119910610094500.5,NA,Atrazine,2.6,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.92065,-95.34428,1
369331,1991-06-24,KS-15814,38,"Atrazine, total",4.8,NA,NC4,0.5,369331-BO,39.08056,-96.90278,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM019001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01900119910624105500.5,NA,Atrazine,4.8,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.08056,-96.90278,1
