OrganizationFormalName,depth,no_depth
Nisqually Indian Tribe,0,2
NJDEP Bur of Environmental Analysis Restoration & Standards,149,64
NM Environmental Dept./SWQB,276,1732
North American Lake Management Society,6434,378
North Carolina Department of Environmental Resources NCDENR-DWQ WQX,48879,0
North Dakota Department Of Environmental Quality,49713,4345
North Dakota Dept. of Health,11752,4450
Northern Ute Indian Tribe (UT),0,10
Northwest Florida Water District,11,66
Oklahoma Corporation Commission,8,96
Orange County Environmental (Florida),123723,0
Orange County Environmental Protection (Florida),37162,4080
Orlando Streets Drainage Stormwater Utility Bureau(Florida),38320,0
OWRB Lakes Monitoring,772,30
Palm Beach County Environmental Resources Management Departm,2685,42
Palm Beach County Environmental Resources Managemnt(Florida),785,85
Pawnee Nation of Oklahoma,0,74
Pinellas County Dept. of Environmental Management,6833,0
Pinellas County Dept. of Environmental Management (Florida),5101,1112
Polk County Natural Resources Division,512,0
Polk County Water Resources (Florida),38789,412
Pueblo of Sandia Water Quality Program (New Mexico),18,37
"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",2002,0
Quinault Indian Nation,0,178
R8MONTWQ - EPA Region 8 Organization,355,0
Salmon Drift Creek Watershed Council (Volunteer),0,68
Samish Indian Nation,16,117
Sanibel Captiva Conservation Foundation (Florida),270,0
Santee Cooper - South Carolina Public Service Authority,41376,2
Sarasota County Environmental Services,32,0
SD Dept of Environmental & Natural Resources,6366,21734
Seminole  County (Florida),23325,8735
Seminole Tribe of Florida,169,0
Seneca Cayuga Tribe,681,210
"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",46,273
Sisseton-Wahpeton Sioux Tribe Lake Traverse Reservation (SD),163,289
Siuslaw Watershed Council,0,6
South Carolina Department of Health and Environmental Control,59590,0
South Florida Water Management District,227813,0
Southern Ute Tribe,45,147
Southwest Florida Water Management District,56637,1302
Spirit Lake Tribal EPA Programs,162,2171
St.  Johns River Water Management District,77272,0
St.  Johns Water Management District (Florida),144153,1383
Standing Rock Sioux Tribe,2,42
Standley Lake Watershed Group (Volunteer),26,21
State of Oregon Dept. of Environmental Quality,5723,4617
Suwannee River Water Management District,2484,0
Suwannee River Water Management District (Florida),5932,0
TDEC Division of Water Resources,211,7851
Tennessee Department of Environment and Conservation,0,713
Texas Commission on Environmental Quality,8284,0
The Choctaw Nation of Oklahoma,57,82
The Seminole Nation of Oklahoma,0,565
"Three Affiliated Tribes: Mandan, Hidatsa, and Arikara Nation",0,1185
TMDL Technical Development Program,2480,0
Tulalip Tribes of Washington,0,127
Turtle Mountain Environmental Office,1253,699
U.S. Army Corps of Engineers / Water Management,301,0
U.S. Army Corps of Engineers Walla Walla District,3630,0
"U.S. Army Corps of Engineers, Seattle District Water Management Section",113,144
UC Region of USBOR,2226,0
Umatilla National Forest (Washington and Oregon),0,46
"Univ. of Missouri, Columbia",0,7
US Army Corps of Engineers Omaha District,44536,0
"US Army Corps of Engineers, Nashville District",44295,0
USGS Alabama Water Science Center,590,3874
USGS Arizona Water Science Center,542,204
USGS Arkansas Water Science Center,75762,1918
USGS California Water Science Center,12651,6413
USGS Colorado Water Science Center,59081,16635
USGS Connecticut Water Science Center,3928,2384
USGS Florida Water Science Center,3999,16086
USGS Georgia Water Science Center,4985,5015
USGS Idaho Water Science Center,9619,2587
USGS Indiana Water Science Center,347,923
USGS Iowa Water Science Center,2112,955
USGS Kansas Water Science Center,4639,8822
USGS Kentucky Water Science Center,85,152
USGS Louisiana Water Science Center,4631,26999
USGS Maine Water Science Center,6219,515
USGS Maryland Water Science Center,12,55
USGS Massachusetts Water Science Center,1454,2842
USGS Michigan Water Science Center,39,0
USGS Minnesota Water Science Center,19,20
USGS Mississippi Water Science Center,197,247
USGS Missouri Water Science Center,5706,4854
USGS Montana Water Science Center,19216,731
USGS Nebraska Water Science Center,2342,288
USGS Nevada Water Science Center,8346,2141
USGS New Hampshire Water Science Center,3380,154
USGS New Jersey Water Science Center,796,879
USGS New Mexico Water Science Center,1868,642
USGS North Carolina Water Science Center,29631,3008
USGS North Dakota Water Science Center,52053,6718
USGS Ohio Water Science Center,61,445
USGS Oklahoma Water Science Center,9707,4615
USGS Oregon Water Science Center,11928,5886
USGS South Carolina Water Science Center,1319,493
USGS South Dakota Water Science Center,4039,3871
USGS Tennessee Water Science Center,0,163
USGS Texas Water Science Center,205056,8936
USGS Utah Water Science Center,12234,3556
USGS Virginia Water Science Center,10330,1958
USGS Washington Water Science Center,13535,1833
USGS Wisconsin Water Science Center,1,5
USGS Wyoming Water Science Center,996,1581
Utah Department Of Environmental Quality,153317,188
VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,72083,12
Volusa County Environmental Health Lab (Florida),78,0
Volusia County Environmental Health Lab,1239,0
Wasatch Front Water Quality Council Utah (Volunteer),590,0
Zia Pueblo,0,16
