Obs_Id,lagoslakeid,sampledate,ActivityConductingOrganizationText,OrganizationFormalName,CharacteristicName,source_parameter,ResultMeasureValue,source_value,source_unit,Conversion,DetectionQuantitationLimitMeasure.MeasureValue,Method_Id,MethodDescriptionText,ActivityCommentText,wqp_monitoringlocationname
WA-14620,460912,1975-09-16,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,5200,5.20,mg/l as P,1000,NA,"NA NA",NA,NA,"UPPER GOOSE LAKE NEAR OTHELLO, WA"
WA-16338,461572,1975-09-18,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2200,2.20,mg/l as P,1000,NA,"NA NA",NA,NA,"GRIMES LAKE NEAR MANSFIELD, WA"
WA-70828,461572,1975-09-18,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2600,2.60,mg/l as P,1000,NA,"NA NA",NA,NA,"GRIMES LAKE NEAR MANSFIELD, WA"
WA-83764,461235,1975-09-24,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2700,2.70,mg/l as P,1000,NA,"NA NA",NA,NA,"WANNACUT LAKE NEAR OROVILLE, WA"
CO-329834,359516,1975-10-25,NA,USGS Colorado Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,3700,3.7,mg/l as N,1000,NA,"NA NA",NA,NA,BARR LAKE
CO-507524,359516,1975-10-25,NA,USGS Colorado Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,3700,3.7,mg/l as N,1000,NA,"NA NA",NA,NA,BARR LAKE
TX-824232,414478,1976-01-13,NA,USGS Texas Water Science Center,"Phosphorus, total",Phosphorus,3000,3,mg/l as P,1000,NA,"NA NA",NA,NA,"Sam Rayburn Res Site NC nr Jasper, TX"
LA-132837,411706,1976-04-07,NA,USGS Texas Water Science Center,"Phosphorus, total",Phosphorus,9700,9.70,mg/l as P,1000,NA,"NA NA",NA,NA,"Toledo Bd Res nr Burkeville, TX"
TX-300106,426175,1976-08-19,NA,USGS Texas Water Science Center,Secchi,"Depth, Secchi disk depth",29.5,29.5,m,1,NA,"NA NA",NA,NA,"Lk Conroe Site BC nr Conroe, TX"
WY-29542,325102,1977-08-04,NA,National Park Service Water Resources Division,Sodium,Sodium,150,150,mg/l,1,NA,11NPSWRD_WQX NPS_LEGACY,NA,NA,Little Trumpeter Lake NE YNP 4.4 Km from Tower Junction
CT-22438,6902,1977-08-10,NA,USGS Connecticut Water Science Center,"Solids, total suspended",Total solids,604,604,mg/l,1,NA,"NA NA",NA,NA,"LAKE LILLINONAH NR BROOKFIELD CENTER, CT"
AR-295878,390649,1977-08-17,U.S. Corps of Engineers,USGS Arkansas Water Science Center,"Color, true",Color,1600,1600,PCU,1,NA,"NA NA",NA,NA,"Blue Mountain Lake near Waveland, AR"
CA-93540,474127,1977-09-09,NA,USGS California Water Science Center,Conductivity,Specific conductance,10200,10200,uS/cm @25C,1,NA,"NA NA",NA,NA,BIG LAGOON A CENTER CA
CA-60570,474127,1977-09-09,NA,USGS California Water Science Center,"Chloride, dissolved",Chloride,3400,3400,mg/l,1,NA,"NA NA",NA,NA,BIG LAGOON A CENTER CA
CA-60567,474127,1977-09-09,NA,USGS California Water Science Center,"Magnesium, dissolved",Magnesium,270,270,mg/l,1,NA,"NA NA",NA,NA,BIG LAGOON A CENTER CA
CA-60569,474127,1977-09-09,NA,USGS California Water Science Center,Potassium,Potassium,76,76.0,mg/l,1,NA,"NA NA",NA,NA,BIG LAGOON A CENTER CA
CA-60568,474127,1977-09-09,NA,USGS California Water Science Center,Sodium,Sodium,1800,1800,mg/l,1,NA,"NA NA",NA,NA,BIG LAGOON A CENTER CA
TX-301062,417142,1977-09-29,NA,USGS Texas Water Science Center,"Phosphorus, total",Phosphorus,5300,5.3,mg/l as P,1000,NA,"NA NA",NA,NA,"Cedar Ck Res Site AC nr Trinidad, TX"
ND-910197,342596,1978-02-15,NA,USGS North Dakota Water Science Center,"Phosphorus, total dissolved",Phosphorus,6000,6,mg/l as P,1000,NA,"NA NA",NA,NA,"SWEETBRIAR LAKE (DEEP) NR JUDSON, ND"
OH-10501,3066,1978-04-24,NA,USGS Ohio Water Science Center,Sodium,Sodium,190,190,mg/l,1,NA,"NA NA",NA,NA,WINTON LK USA NR CINCINNATTI OH
OH-10609,3066,1978-04-24,NA,USGS Ohio Water Science Center,"Chloride, dissolved",Chloride,830,830,mg/l,1,NA,"NA NA",NA,NA,WINTON LK USA NR CINCINNATTI OH
OH-10608,3066,1978-04-24,NA,USGS Ohio Water Science Center,Sodium,Sodium,500,500,mg/l,1,NA,"NA NA",NA,NA,WINTON LK USA NR CINCINNATTI OH
PA-58512,105111,1978-05-19,NA,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,390,390,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58491,105111,1978-05-19,NA,USGS Pennsylvania Water Science Center,"Magnesium, dissolved",Magnesium,100,100,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58486,105111,1978-05-19,NA,USGS Pennsylvania Water Science Center,Potassium,Potassium,20,20.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58532,105111,1978-05-19,NA,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1000,1000,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58576,105111,1978-05-19,NA,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,730,730,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58455,105111,1978-05-19,NA,USGS Pennsylvania Water Science Center,"Magnesium, dissolved",Magnesium,170,170,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58441,105111,1978-05-19,NA,USGS Pennsylvania Water Science Center,Potassium,Potassium,32,32.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58577,105111,1978-05-19,NA,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1900,1900,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
TX-413282,435842,1978-06-08,NA,USGS Texas Water Science Center,Potassium,Potassium,460,460,mg/l,1,NA,"NA NA",NA,NA,"E. V. Spence Res Site AC nr Robert Lee, TX"
PA-58431,105111,1978-08-21,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,580,580,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58425,105111,1978-08-21,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Magnesium, dissolved",Magnesium,120,120,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58400,105111,1978-08-21,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,29,29.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58404,105111,1978-08-21,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1600,1600,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58454,105111,1978-08-21,NA,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,550,550,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58436,105111,1978-08-21,NA,USGS Pennsylvania Water Science Center,"Magnesium, dissolved",Magnesium,130,130,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58410,105111,1978-08-21,NA,USGS Pennsylvania Water Science Center,Potassium,Potassium,30,30.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58403,105111,1978-08-21,NA,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1700,1700,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
OK-79390,388263,1978-08-24,U.S. Geological Survey-Water Resources Discipline,USGS Oklahoma Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),8500,8.50,mg/l as N,1000,NA,"NA NA",NA,NA,07N-16E-30 CDA 1
OK-110225,388263,1978-09-28,U.S. Geological Survey-Water Resources Discipline,USGS Oklahoma Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),8300,8.30,mg/l as N,1000,NA,"NA NA",NA,NA,06N-16E-03 AAC 1
OK-46074,388263,1978-09-28,U.S. Geological Survey-Water Resources Discipline,USGS Oklahoma Water Science Center,"Nitrogen, total dissolved","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",9100,9.1,mg/l,1000,NA,"NA NA",NA,NA,06N-16E-03 AAC 1
PA-58643,105111,1978-11-15,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,670,670,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58644,105111,1978-11-15,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Magnesium, dissolved",Magnesium,210,210,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58646,105111,1978-11-15,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,20,20.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58648,105111,1978-11-15,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1800,1800,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58617,105111,1978-11-15,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,660,660,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58618,105111,1978-11-15,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Magnesium, dissolved",Magnesium,210,210,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58620,105111,1978-11-15,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,20,20.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58622,105111,1978-11-15,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1900,1900,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58668,105111,1979-03-29,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,510,510,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58669,105111,1979-03-29,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Magnesium, dissolved",Magnesium,130,130,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58671,105111,1979-03-29,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,29,29.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58673,105111,1979-03-29,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1500,1500,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58685,105111,1979-03-29,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Alkalinity,Alkalinity,1160,1160,mg/l CaCO3,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58692,105111,1979-03-29,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,510,510,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58693,105111,1979-03-29,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Magnesium, dissolved",Magnesium,120,120,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58695,105111,1979-03-29,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,30,30.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
MT-236300,322152,1979-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Montana Water Science Center,"Arsenic, total",Arsenic,150,150,ug/l,1,NA,"NA NA",NA,NA,Site 16 White Water Lake (north)
PA-58498,105111,1979-08-17,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,770,770,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58463,105111,1979-08-17,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,44,44.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58464,105111,1979-08-17,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1600,1600,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58448,105111,1979-08-17,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,830,830,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58481,105111,1979-08-17,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,46,46.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58534,105111,1979-08-17,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1600,1600,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
WY-31752,324951,1979-08-30,NA,National Park Service Water Resources Division,Alkalinity,"Alkalinity, total",1093,1093,mg/l CaCO3,1,NA,11NPSWRD_WQX NPS_LEGACY,NA,NA,Geode Lake North YNP Rim of Black Canyon of Yellowstone
WY-33021,324951,1979-08-30,NA,National Park Service Water Resources Division,Sodium,Sodium,460,460,mg/l,1,NA,11NPSWRD_WQX NPS_LEGACY,NA,NA,Geode Lake North YNP Rim of Black Canyon of Yellowstone
OK-85296,388263,1979-08-30,U.S. Geological Survey-Water Resources Discipline,USGS Oklahoma Water Science Center,Potassium,Potassium,110,110,mg/l,1,NA,"NA NA",NA,NA,06N-16E-08 BBC 1
IL-104837,25304,1979-08-30,U.S. Geological Survey-Water Resources Discipline,USGS Illinois Water Science Center,"Magnesium, dissolved",Magnesium,290,290,mg/l,1,NA,"NA NA",NA,NA,EAGLE PIT #10E
UT-412785,456548,1979-09-05,NA,Utah Department Of Environmental Quality,"Nitrogen, total Kjeldahl",Kjeldahl nitrogen,18300,18.3,mg/l,1000,NA,UTAHDWQ_WQX GENERIC METHOD2,NA,NA,PANGUITCH LAKE AB DAM 01
IL-147115,124237,1979-09-27,U.S. Geological Survey-Water Resources Discipline,USGS Illinois Water Science Center,Sodium,Sodium,850,850,mg/l,1,NA,"NA NA",NA,NA,EAST C STREAMLINE
IL-146848,6395,1979-10-12,U.S. Geological Survey-Water Resources Discipline,USGS Illinois Water Science Center,"Nitrogen, total","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",27000,27,mg/l,1000,NA,"NA NA",NA,NA,WESSELN CUT IN PYRAMID STATE PARK
WY-28242,325414,1979-10-16,NA,National Park Service Water Resources Division,"Phosphorus, soluble reactive orthophosphate",Orthophosphate,1400,1.4,mg/l,1000,NA,11NPSWRD_WQX NPS_Unspecified,NA,NA,Squaw Lake (Indian Pond) 4.5 Km from Fishing Bridge
WY-32618,325414,1979-10-16,NA,National Park Service Water Resources Division,Sodium,Sodium,205,205,mg/l,1,NA,11NPSWRD_WQX NPS_LEGACY,NA,NA,Squaw Lake (Indian Pond) 4.5 Km from Fishing Bridge
PA-58725,105111,1979-11-14,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,630,630,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58728,105111,1979-11-14,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,53,53.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58730,105111,1979-11-14,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1700,1700,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58708,105111,1979-11-14,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,640,640,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58711,105111,1979-11-14,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,51,51.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58713,105111,1979-11-14,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,1600,1600,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
IL-95282,93968,1980-03-06,U.S. Geological Survey-Water Resources Discipline,USGS Illinois Water Science Center,"Nitrogen, total","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",39000,39,mg/l,1000,NA,"NA NA",NA,NA,WILL SCARLET PIT#8 ARM
PA-58743,105111,1980-04-02,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,310,310,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58746,105111,1980-04-02,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,31,31.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58748,105111,1980-04-02,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,640,640,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58764,105111,1980-04-02,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Calcium, dissolved",Calcium,430,430,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58767,105111,1980-04-02,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,Potassium,Potassium,44,44.0,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
PA-58769,105111,1980-04-02,U.S. Geological Survey-Water Resources Discipline,USGS Pennsylvania Water Science Center,"Sulfate, dissolved",Sulfate,900,900,mg/l,1,NA,"NA NA",NA,NA,"Little Blue Run Lake near Georgetown, PA"
FL-2387918,196849,1980-06-16,NA,South Florida Water Management District,"Arsenic, total",Arsenic,33,33,ug/l,1,NA,21FLSFWM WQ-1,NA,NA,W LAKE OKEECHOBEE WATER QUALITY STATION
UT-245843,455771,1980-06-26,NA,Utah Department Of Environmental Quality,Secchi,"Depth, Secchi disk depth",50,50,m,1,NA,UTAHDWQ_WQX FIELD MEASURES,NA,NA,BIG ELK LAKE 01
IL-95704,93968,1980-08-12,U.S. Geological Survey-Water Resources Discipline,USGS Illinois Water Science Center,"Nitrogen, total","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",30000,30,mg/l,1000,NA,"NA NA",NA,NA,WILL SCARLET PIT#8 ARM
IL-105029,25304,1980-08-13,U.S. Geological Survey-Water Resources Discipline,USGS Illinois Water Science Center,"Magnesium, dissolved",Magnesium,240,240,mg/l,1,NA,"NA NA",NA,NA,EAGLE PIT #10E
IL-147291,124237,1980-09-10,U.S. Geological Survey-Water Resources Discipline,USGS Illinois Water Science Center,Sodium,Sodium,930,930,mg/l,1,NA,"NA NA",NA,NA,EAST C STREAMLINE
KS-125380,67382,1980-10-23,U.S. Geological Survey-Water Resources Discipline,USGS Kansas Water Science Center,"Magnesium, dissolved",Magnesium,450,450,mg/l,1,NA,"NA NA",NA,NA,PIT 06
WA-62877,470553,1981-06-09,U.S. Geological Survey-Water Resources Discipline,USGS Washington Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,4200,4.20,mg/l as N,1000,NA,"NA NA",NA,NA,"HYPOLIMNION-HARTS LAKE NR MCKENNA, WA"
WA-62883,470553,1981-06-09,U.S. Geological Survey-Water Resources Discipline,USGS Washington Water Science Center,"Nitrogen, total Kjeldahl",Kjeldahl nitrogen,7500,7.5,mg/l as N,1000,NA,"NA NA",NA,NA,"HYPOLIMNION-HARTS LAKE NR MCKENNA, WA"
WY-29212,325414,1981-07-18,NA,National Park Service Water Resources Division,"Phosphorus, soluble reactive orthophosphate",Orthophosphate,2100,2.1,mg/l,1000,NA,11NPSWRD_WQX NPS_Unspecified,NA,NA,Squaw Lake (Indian Pond) 4.5 Km from Fishing Bridge
WY-24799,325414,1981-07-18,NA,National Park Service Water Resources Division,Sodium,Sodium,201,201,mg/l,1,NA,11NPSWRD_WQX NPS_LEGACY,NA,NA,Squaw Lake (Indian Pond) 4.5 Km from Fishing Bridge
VT-221942,5288,1981-08-12,U.S. Geological Survey-Water Resources Discipline,USGS New Hampshire Water Science Center,"Phosphorus, total dissolved",Phosphorus,324,0.324,mg/l as P,1000,NA,"NA NA",NA,NA,LAKE MOREY SOUTH END LAKE
VT-221872,5288,1981-08-12,U.S. Geological Survey-Water Resources Discipline,USGS New Hampshire Water Science Center,"Phosphorus, total dissolved",Phosphorus,251,0.251,mg/l as P,1000,NA,"NA NA",NA,NA,LAKE MOREY MID LAKE
VT-221973,5288,1981-08-12,U.S. Geological Survey-Water Resources Discipline,USGS New Hampshire Water Science Center,"Phosphorus, total dissolved",Phosphorus,337,0.337,mg/l as P,1000,NA,"NA NA",NA,NA,LAKE MOREY MID LAKE
MT-143617,460262,1981-08-12,U.S. Geological Survey-Water Resources Discipline,USGS Montana Water Science Center,"Nitrogen, total","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",11000,11,mg/l,1000,NA,"NA NA",NA,NA,Savage Lake near Troy
MT-208629,460262,1981-08-12,U.S. Geological Survey-Water Resources Discipline,USGS Montana Water Science Center,"Nitrogen, total Kjeldahl",Kjeldahl nitrogen,11000,11,mg/l as N,1000,NA,"NA NA",NA,NA,Savage Lake near Troy
CA-44513,480828,1981-09-24,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Mercury, total dissolved",Mercury,4700,4.70,ug/l,1000,NA,"NA NA",NA,NA,CALERO RES A CENTER NR NEW ALMADEN CA
FL-2640984,199373,1981-12-07,U.S. Geological Survey-Water Resources Discipline,USGS Florida Water Science Center,"Chloride, dissolved",Chloride,2800,2800,mg/l,1,NA,"NA NA",NA,NA,SEVEN PALM LAKE IN EVERGLADES NATIONAL PARK
FL-2000727,199373,1981-12-07,U.S. Geological Survey-Water Resources Discipline,USGS Florida Water Science Center,Conductivity,Specific conductance,8800,8800,uS/cm @25C,1,NA,"NA NA",NA,NA,SEVEN PALM LAKE IN EVERGLADES NATIONAL PARK
FL-2901245,199373,1981-12-07,U.S. Geological Survey-Water Resources Discipline,USGS Florida Water Science Center,"Magnesium, dissolved",Magnesium,190,190,mg/l,1,NA,"NA NA",NA,NA,SEVEN PALM LAKE IN EVERGLADES NATIONAL PARK
