"","CharacteristicName","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitMeasure.MeasureUnitCode","source_labmethodid","source_labmethodname","USGSPCode","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","source_samplesiteid","ActivityCommentText","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","datavalue","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","source_labmethoddescription","ResultLaboratoryCommentText","source_qualifier","DetectionQuantitationLimitMeasure.MeasureValue","ProviderName","ActivityStartDateTime","ActivityEndDateTime","Obs_Id","State","Id_num","wqp_monitoringlocationname","wqp_providername","lagoslakeid","source_parameter","source_value","source_unit","detectionlimit_legacy","detectionlimit_unit_legacy","Conversion","Conversion_dl","Notes","sampledate","source_sampledepth","variableid_lagos","limit_low","limit_high","variableshortname","source_sampleposition","lagos_sampledepth","lagos_sampleposition"
"11","Silica, dissolved","mg/l",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19830906_117004","Sample-Routine","1983-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Dissolved",0.19,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00955][Description: SILICA, DISSOLVED (MG/L AS SI02)][Value: 0.19",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"0.19","STORET",NA,NA,"CA-331030","CA","331030","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","Silica",".19","mg/l",NA,NA,"1","1","methods_WQX",1983-09-06,NA,31,-10,2000,"si_mgl","UNKNOWN",NA,"UNKNOWN"
"12","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19830906_116655","Sample-Routine","1983-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",1.74,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 1.74",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"1.74","STORET",NA,NA,"CA-358028","CA","358028","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Alkalinity, total","1.74","mg/l",NA,NA,"1","1","methods_WQX",1983-09-06,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"13","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19830906_116654","Field Msr/Obs","1983-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,NA,NA,NA,NA,NA,NA,6.14,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00406][Description: PH, FIELD, STANDARD UNITS   SU][Value: 6.14",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.14","STORET",NA,NA,"CA-363368","CA","363368","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","pH","6.14","None",NA,NA,"1","1","methods_WQX",1983-09-06,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"14","Silica, dissolved","mg/l",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19830906_116655","Sample-Routine","1983-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Dissolved",0.168,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00955][Description: SILICA, DISSOLVED (MG/L AS SI02)][Value: 0.168",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"0.168","STORET",NA,NA,"CA-331725","CA","331725","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Silica",".168","mg/l",NA,NA,"1","1","methods_WQX",1983-09-06,NA,31,-10,2000,"si_mgl","UNKNOWN",NA,"UNKNOWN"
"15","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19831019_114548","Sample-Routine","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",2.28,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 2.28",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"2.28","STORET",NA,NA,"CA-338452","CA","338452","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Alkalinity, total","2.28","mg/l",NA,NA,"1","1","methods_WQX",1983-10-19,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"16","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19831019_114548","Sample-Routine","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,NA,8.2,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00095][Description: SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)][Value: 8.2][Remark: S - Laboratory test",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"8.2","STORET",NA,NA,"CA-354074","CA","354074","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Specific conductance","8.2","umho/cm",NA,NA,"1","1","methods_WQX",1983-10-19,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"17","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19831019_114547","Field Msr/Obs","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,NA,NA,NA,NA,NA,NA,6.73,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00406][Description: PH, FIELD, STANDARD UNITS   SU][Value: 6.73",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.73","STORET",NA,NA,"CA-345796","CA","345796","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","pH","6.73","None",NA,NA,"1","1","methods_WQX",1983-10-19,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"18","Turbidity","NTU",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19831019_114548","Sample-Routine","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,NA,0.52,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 82079][Description: TURBIDITY,LAB NEPHELOMETRIC TURBIDITY UNITS, NTU][Value: 0.52",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"0.52","STORET",NA,NA,"CA-353621","CA","353621","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Turbidity",".52","NTU",NA,NA,"1","1","methods_WQX",1983-10-19,NA,36,0,20000,"turb_ntu","UNKNOWN",NA,"UNKNOWN"
"19","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19831019_117010","Sample-Routine","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",1.36,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 1.36",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"1.36","STORET",NA,NA,"CA-332795","CA","332795","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","Alkalinity, total","1.36","mg/l",NA,NA,"1","1","methods_WQX",1983-10-19,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"20","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19831019_117009","Field Msr/Obs","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,NA,NA,NA,NA,NA,NA,6.63,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00406][Description: PH, FIELD, STANDARD UNITS   SU][Value: 6.63",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.63","STORET",NA,NA,"CA-363711","CA","363711","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","pH","6.63","None",NA,NA,"1","1","methods_WQX",1983-10-19,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"21","Turbidity","NTU",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19831019_117010","Sample-Routine","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,NA,0.78,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 82079][Description: TURBIDITY,LAB NEPHELOMETRIC TURBIDITY UNITS, NTU][Value: 0.78",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"0.78","STORET",NA,NA,"CA-358610","CA","358610","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","Turbidity",".78","NTU",NA,NA,"1","1","methods_WQX",1983-10-19,NA,36,0,20000,"turb_ntu","UNKNOWN",NA,"UNKNOWN"
"22","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19831019_116661","Sample-Routine","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",3.1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 3.1",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"3.1","STORET",NA,NA,"CA-343371","CA","343371","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Alkalinity, total","3.1","mg/l",NA,NA,"1","1","methods_WQX",1983-10-19,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"23","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19831019_116660","Field Msr/Obs","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,NA,NA,NA,NA,NA,NA,6.91,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00406][Description: PH, FIELD, STANDARD UNITS   SU][Value: 6.91",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.91","STORET",NA,NA,"CA-345999","CA","345999","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","pH","6.91","None",NA,NA,"1","1","methods_WQX",1983-10-19,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
