PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,SAMPLE_TYPE,NOT_COLLECTED,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,E_COLI_PRESENT,E_COLI_RESULT,TOTAL_COLIFORMS_RESULT,LRL,MDL,UNITS,E_COLI_NARS_FLAG,TOTAL_COLIFORMS_NARS_FLAG,E_COLI_IM_COMMENT,TOTAL_COLIFORMS_IM_COMMENT,E_COLI_RPD,TOTAL_COLIFORMS_RPD,LG_WELLS_FLUOR,LG_WELLS_POS,SM_WELLS_FLUOR,SM_WELLS_POS,DATE_RECEIVED,ARRIVAL_TEMP,COND_COMMENT,CONDITION_CODE,INCUBATION_START_DATE,INCUBATION_START_TIME,DATE_ANALYZED,FINAL_TEMP,HOLDING_TIME,ANALYST,INSTRUMENT,METHOD,REAGENT_LOT_NO,REVIEWER,TIME_COUNTED,QC_COMMENT,HQ_NOTES
4/28/2021,2010191,NLA17_NV-10002,6/6/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0010,839974,P,6.3,1046.2,2419.6,1,MPN/100 ml,,,,,,,6,49,0,39,7-Jun-17,2.8,,OK,7-Jun-17,12:48,8-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:07,,
4/28/2021,2010192,NLA17_NV-10006,6/5/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0010,840034,A,,1,2419.6,1,MPN/100 ml,H;ND,H,,,,,0,1,0,0,7-Jun-17,2.9,,OK,7-Jun-17,12:48,8-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:07,,
4/28/2021,2010193,NLA17_KY-10006,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,838684,P,3.1,1732.9,2419.6,1,MPN/100 ml,,,,,,,3,49,1,45,8-Jun-17,4.6,,"L, W",8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,"Bottle leaking, in Ziploc",
4/28/2021,2010194,NLA17_TX-10019,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,836224,P,9.7,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,8,49,2,48,8-Jun-17,2.9,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,"Bottle leaking, small crack.",
4/28/2021,2010195,NLA17_TN-10004,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,836704,P,19.9,2419.6,2419.6,1,MPN/100 ml,,Q,,,7.29%,0.00%,15,49,3,48,8-Jun-17,4.2,,W,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010196,NLA17_MO-HP002,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,845464,A,,2419.6,2419.6,1,MPN/100 ml,ND,Q,,,,,0,49,0,48,8-Jun-17,1.6,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010197,NLA17_IA-HP002,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,845434,P,1,146.7,2419.6,1,MPN/100 ml,,,,,,,1,46,0,10,8-Jun-17,5.6,,W,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010198,NLA17_ND-10035,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,839644,P,22.1,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,14,49,5,48,8-Jun-17,4.2,,W,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010199,NLA17_ND-10004,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,835054,P,8.4,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,6,49,2,48,8-Jun-17,-0.2,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,"CONDITION_CODE marked as T, but not above 4 degrees C.  T removed from Condition code"
4/28/2021,2010200,NLA17_GA-10002,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,843304,P,6.3,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,6,49,0,48,8-Jun-17,0.5,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010201,NLA17_KS-10001,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,841144,P,17.4,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,2,49,15,48,8-Jun-17,2.9,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010202,NLA17_SD-10020,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,837994,P,3,1553.1,2419.6,1,MPN/100 ml,,,,,,,0,49,3,44,8-Jun-17,3,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010203,NLA17_KS-10028,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,841114,P,19.7,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,14,49,3,48,9-Jun-17,3.5,,OK,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,
4/28/2021,2010204,NLA17_NV-10016,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,840004,A,,119.8,2419.6,1,MPN/100 ml,ND,,,,,,0,45,0,6,9-Jun-17,3.6,,OK,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,
4/28/2021,2010205,NLA17_NV-10239,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,839284,P,14.8,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,13,49,0,48,9-Jun-17,3,,OK,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,
4/28/2021,2010206,NLA17_TX-HP003,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0013,846784,A,,613.1,2419.6,1,MPN/100 ml,ND,,,,,,0,49,0,30,10-Jun-17,9.5,,W,10-Jun-17,15:21,11-Jun-17,35.5,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,15:56,,
4/28/2021,2010207,NLA17_TN-10001,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,837724,P,172.5,1119.9,2419.6,1,MPN/100 ml,,,,,,,46,49,15,40,9-Jun-17,1.6,,OK,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,
4/28/2021,2010208,NLA17_CA-10001,6/6/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0010,838744,P,1,940.4,2419.6,1,MPN/100 ml,,,,,,,1,49,0,38,7-Jun-17,5.8,,W,7-Jun-17,12:48,8-Jun-17,35.5,,jh,Model 2X Sealer,IDEXX,LM206C,JH,13:07,,
4/28/2021,2010209,NLA17_WV-10003,6/6/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,839464,A,,325.5,2419.6,1,MPN/100 ml,H;ND,H,,,,,0,49,0,19,8-Jun-17,0.4,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010210,NLA17_ND-10006,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,839614,A,,119.1,2419.6,1,MPN/100 ml,H;ND,H,E coli result less than than MDL; IM changed to blank.,E coli result less than than MDL; IM changed to blank.,,,0,41,0,15,9-Jun-17,3.4,,OK,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,"Site ID should be NLA17_ND, not NLA17-ND. Corrected",
4/28/2021,2010211,NLA17_MO-HP004,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,846244,A,,160.7,2419.6,1,MPN/100 ml,ND,,,,,,0,47,0,10,9-Jun-17,9,,W,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,
4/28/2021,2010212,NLA17_TX-10017,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0013,836314,P,93.3,2419.6,2419.6,1,MPN/100 ml,H,H;Q,,,59.65%,0.00%,40,49,8,48,10-Jun-17,5.4,,W,10-Jun-17,15:21,11-Jun-17,35.5,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,15:56,,
4/28/2021,2010213,NLA17_UT-10013,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0013,835474,P,14.8,2419.6,2419.6,1,MPN/100 ml,H,H;Q,,,,,13,49,0,48,10-Jun-17,5.4,,W,10-Jun-17,15:21,11-Jun-17,35.5,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,15:56,,
4/28/2021,2010214,NLA17_AR-10001,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,841954,P,3.1,2419.6,2419.6,1,MPN/100 ml,,,,,,,3,49,0,47,8-Jun-17,3.4,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010215,NLA17_NV-10124,6/9/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0013,834844,P,98.7,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,41,49,8,48,10-Jun-17,13,,W,10-Jun-17,15:21,11-Jun-17,35.5,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,15:56,"sample bottle cracked and leaking, 100 mL of sample remaining when received",
4/28/2021,2010216,NLA17_MO-HP003,6/9/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0013,846334,A,,53.8,2419.6,1,MPN/100 ml,ND,,,,,,0,32,0,3,10-Jun-17,12.1,,W,10-Jun-17,15:21,11-Jun-17,35.5,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,15:56,,
4/28/2021,2010217,NLA17_KS-10034,6/9/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0013,841084,P,1,2419.6,2419.6,1,MPN/100 ml,,Q,,,0.00%,154.18%,1,49,0,48,10-Jun-17,3.2,,OK,10-Jun-17,15:21,11-Jun-17,35.5,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,15:56,colilert powder was darker than normal,
4/28/2021,2010218,NLA17_CA-10082,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,838834,P,3.1,1203.3,2419.6,1,MPN/100 ml,H,H,,,,,3,49,0,41,9-Jun-17,4.4,,W,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,
4/28/2021,2010219,NLA17_OK-10001,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,835624,P,1,365.4,2419.6,1,MPN/100 ml,H,H,,,,,1,49,0,21,9-Jun-17,2.4,,OK,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,Original sample ID not found in NARS_IM; PER NARS_IMSample ID has been changed from 835634 to 835624
4/28/2021,2010220,NLA17_WV-10002,6/7/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,838354,A,,91,2419.6,1,MPN/100 ml,ND,,,,,,0,38,0,11,9-Jun-17,3.3,,OK,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,Incorrect Site_ID.  Changed from NLA17-WV-10002 to NLA17_WV-10002 for consistency. Correction made by Danielle Grunzke.
4/28/2021,2010221,NLA17_WV-10004,6/8/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0012,838294,P,17.1,1299.7,2419.6,1,MPN/100 ml,H,H,,,,,13,49,2,42,9-Jun-17,3.4,,OK,9-Jun-17,12:19,10-Jun-17,35.5,,es,Model 2X Sealer,IDEXX,LM206C,JH,14:30,,Incorrect Site_ID.  Changed from NLA17-WV-10004 to NLA17_WV-10004 for consistency. Correction made by Danielle Grunzke.
4/28/2021,2010222,NLA17_KS-10006,6/11/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0015,842554,P,5.2,2419.6,2419.6,1,MPN/100 ml,H,H;Q,,,,,4,49,1,48,14-Jun-17,5.9,DATE_RECEIVED not within 2 days,"W, Q",14-Jun-17,11:35,15-Jun-17,34.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,12:45,DATE_RECEIVED not within 2 days. Flagged with a condition code,
4/28/2021,2010223,NLA17_IL-10013,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0014,844714,P,4.1,1732.9,2419.6,1,MPN/100 ml,,,,,,,4,49,0,45,13-Jun-17,3.8,,OK,13-Jun-17,11:30,14-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,11:41,,
4/28/2021,2010224,NLA17_ND-10023,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0014,836794,P,4.1,648.8,2419.6,1,MPN/100 ml,,,,,,,4,49,0,31,13-Jun-17,3.5,,OK,13-Jun-17,11:30,14-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,11:41,,
4/28/2021,2010225,NLA17_TX-10049,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0014,841354,P,1,2419.6,2419.6,1,MPN/100 ml,,,,,,,1,49,0,47,13-Jun-17,4.1,,W,13-Jun-17,11:30,14-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,11:41,,
4/28/2021,2010226,NLA17_OK-HP002,6/11/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0014,842704,A,,648.8,2419.6,1,MPN/100 ml,H;ND,H,,,,,0,49,0,31,13-Jun-17,3.6,,OK,13-Jun-17,11:30,14-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,11:41,,
4/28/2021,2010227,NLA17_ND-10024,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0014,851734,A,,275.5,2419.6,1,MPN/100 ml,ND,,,,162.96%,5.29%,0,47,0,16,13-Jun-17,6.3,,W,13-Jun-17,11:30,14-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,11:41,,
4/28/2021,2010228,NLA17_CA-10003,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0015,838714,P,12.1,1553.1,2419.6,1,MPN/100 ml,H,H,,,,,10,49,1,44,14-Jun-17,4.6,,W,14-Jun-17,11:35,15-Jun-17,34.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,12:45,,
4/28/2021,2010229,NLA17_KS-10003,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0015,842524,P,17.3,574.8,2419.6,1,MPN/100 ml,H,H,,,,,14,48,1,36,14-Jun-17,5.6,,W,14-Jun-17,11:35,15-Jun-17,34.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,12:45,,
4/28/2021,2010230,NLA17_KY-10023,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0014,837604,P,6.3,214.3,2419.6,1,MPN/100 ml,,,,,,,6,48,1,11,13-Jun-17,3.1,,OK,13-Jun-17,11:30,14-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,11:41,,
4/28/2021,2010231,NLA17_AR-10002,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0015,841984,A,,456.9,2419.6,1,MPN/100 ml,H;ND,H,,,,,0,48,0,31,14-Jun-17,5.4,,W,14-Jun-17,11:35,15-Jun-17,34.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,12:45,,
4/28/2021,2010232,NLA17_FL-10001,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0015,838564,A,,549.3,2419.6,1,MPN/100 ml,ND,,,,0.00%,62.29%,0,48,0,35,14-Jun-17,1.5,,OK,14-Jun-17,11:35,15-Jun-17,34.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,12:45,,
4/28/2021,2010233,NLA17_KS-10011,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0016,841174,P,4.1,1986.3,2419.6,1,MPN/100 ml,H,H,,,,,4,49,0,46,15-Jun-17,5.3,,W,15-Jun-17,12:29,16-Jun-17,35.1,,ES,Model 2X Sealer,IDEXX,LM206C,JH,12:39,,
4/28/2021,2010234,NLA17_CT-10005,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0016,850264,P,2,1986.3,2419.6,1,MPN/100 ml,H,H,,,,,2,49,0,46,15-Jun-17,4.5,,W,15-Jun-17,12:29,16-Jun-17,35.1,,ES,Model 2X Sealer,IDEXX,LM206C,JH,12:39,,
4/28/2021,2010235,NLA17_NC-10009,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0015,842224,P,6.2,2419.6,2419.6,1,MPN/100 ml,,Q,,,,,4,49,2,48,14-Jun-17,3,,OK,14-Jun-17,11:35,15-Jun-17,34.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,12:45,,
4/28/2021,2010236,NLA17_KY-10017,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0015,837634,P,8.5,1203.3,2419.6,1,MPN/100 ml,,,,,,,7,49,1,41,14-Jun-17,3.3,,OK,14-Jun-17,11:35,15-Jun-17,34.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,12:45,,
4/28/2021,2010237,NLA17_MI-10099,6/12/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0014,841504,P,21.6,770.1,2419.6,1,MPN/100 ml,,,,,23.26%,17.82%,17,49,1,34,13-Jun-17,13.4,,W,13-Jun-17,11:30,14-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,11:41,,
4/28/2021,2010238,NLA17_TX-10013,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0015,834184,P,38.9,1986.3,2419.6,1,MPN/100 ml,,,,,,,27,49,1,46,14-Jun-17,-0.4,,OK,14-Jun-17,11:35,15-Jun-17,34.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,12:45,,"CONDITION_CODE marked as T, but not above 4 degrees C.  T removed from Condition code"
4/28/2021,2010239,NLA17_UT-10006,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0016,835414,P,3.1,275.5,2419.6,1,MPN/100 ml,H,H,,,,,3,49,0,16,15-Jun-17,3.2,,OK,15-Jun-17,12:29,16-Jun-17,35.1,,ES,Model 2X Sealer,IDEXX,LM206C,JH,12:39,,
4/28/2021,2010240,NLA17_NE-10037,6/14/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0016,846184,P,3,613.1,2419.6,1,MPN/100 ml,,,,,0.00%,0.00%,2,49,1,30,15-Jun-17,4.1,,W,15-Jun-17,12:29,16-Jun-17,35.1,,ES,Model 2X Sealer,IDEXX,LM206C,JH,12:39,,
4/28/2021,2010241,NLA17_NE-HP005,6/14/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0016,850444,A,,2419.6,2419.6,1,MPN/100 ml,ND,Q,,,,,0,49,0,48,15-Jun-17,1.8,,OK,15-Jun-17,12:29,16-Jun-17,35.1,,ES,Model 2X Sealer,IDEXX,LM206C,JH,12:39,,
4/28/2021,2010242,NLA17_OK-10011,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0016,835774,P,4.1,1732.9,2419.6,1,MPN/100 ml,H,H,,,,,3,49,1,45,15-Jun-17,1.3,,OK,15-Jun-17,12:29,16-Jun-17,35.1,,ES,Model 2X Sealer,IDEXX,LM206C,JH,12:39,,
4/28/2021,2010243,NLA17_TX-HP002,6/13/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0017,842584,A,,101.9,2419.6,1,MPN/100 ml,H;ND,H,,,,,0,43,0,5,16-Jun-17,3.6,DATE_RECEIVED not within 2 days,Q,16-Jun-17,14:25,17-Jun-17,35.1,,ES,Model 2X Sealer,IDEXX,LM206C,JH,15:05,,DATE_RECEIVED not within 2 days. Flagged with a condition code
4/28/2021,2010244,NLA17_KY-10004,6/14/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0016,836734,A,,2419.6,2419.6,1,MPN/100 ml,ND,Q,,,135.48%,0.00%,0,49,0,48,15-Jun-17,4.6,,W,15-Jun-17,12:29,16-Jun-17,35.1,,ES,Model 2X Sealer,IDEXX,LM206C,JH,12:39,,
