CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Inorganic nitrogen (nitrate and nitrite),NA,USGS CL048,"Nutrients, wf, Cd reduct, color",mg/l as N,631
Inorganic nitrogen (nitrate and nitrite),mg/l,UTAHDWQ_WQX GENERIC METHOD2,Used for half of methods where historical methodology may not be available.,mg/l,NA
Nitrate,ug/l,USEPA 300.0,Determination of Inorganic Anions by Ion Chromatography,ug/l,NA
Inorganic nitrogen (nitrate and nitrite),NA,USGS CL049,"NO2+NO3, LIS, Cd reduction ASF",mg/l as N,631
Inorganic nitrogen (nitrate and nitrite),NA,NA NA,NA,mg/l as N,631
Nitrogen,NA,USGS COMB7,"TPN, GF/F, combusion",mg/l,49570
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NA,USGS AKP01,"Nutrients, wu, WCA,persulfate,CF",mg/l,62855
Inorganic nitrogen (nitrate and nitrite),NA,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,mg/l,NA
Nutrient-nitrogen,mg/l,USEPA 440(W),440 W  ~ Determination of Carbon and Nitrogen,mg/l,NA
Nutrient-nitrogen,mg/l,APHA 4500-P-J,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,mg/l,NA
