CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes,KEW_Conversion,KEW_Conversion_dl,KEW_notes,KEW_method forms of P,KEW_methods_URL
Phosphorus,mg/l,mg/l,APHA 4500-P-E,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,APHA 4500-P-E,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,ug/l,ug/l,APHA 4500-P-E,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,,-1.00E+06,-1.00E+06,,1,1,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,ug/l,,APHA 4500-P-E,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,,-1.00E+06,-1.00E+06,,1,1,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
"Total Phosphorus, mixed forms",mg/l,mg/l,APHA 4500-P-E,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,,-1.00E+06,-1.00E+06,discard,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphate-phosphorus,mg/l,mg/l,APHA 4500-P-F,4500 P F ~ Phosphorus in Water by Colorimetry Automated Ascorbic Acid Method,,-1.00E+06,-1.00E+06,discard,326.14,326.14,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphate-phosphorus,mg/l,,APHA 4500-P-F,4500 P F ~ Phosphorus in Water by Colorimetry Automated Ascorbic Acid Method,,-1.00E+06,-1.00E+06,discard,326.14,326.14,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphate-phosphorus,ug/l,ug/l,APHA 4500-P-F,4500 P F ~ Phosphorus in Water by Colorimetry Automated Ascorbic Acid Method,,-1.00E+06,-1.00E+06,discard,0.32614,0.32614,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,mg/l,APHA 4500-P-F,4500 P F ~ Phosphorus in Water by Colorimetry Automated Ascorbic Acid Method,,-1.00E+06,-1.00E+06,discard,1000,1000,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,ug/l,APHA 4500-P-F,4500 P F ~ Phosphorus in Water by Colorimetry Automated Ascorbic Acid Method,,-1.00E+06,-1.00E+06,discard,1000,1,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,APHA 4500-P-F,4500 P F ~ Phosphorus in Water by Colorimetry Automated Ascorbic Acid Method,,-1.00E+06,-1.00E+06,discard,1000,1000,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,APHA 4500-P-F,,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphate-phosphorus,mg/l,mg/l,APHA 4500-P-H,4500 P H ~ Manual Digestion and Flow Injection Analysis for Total Phosphorus,,-1.00E+06,-1.00E+06,discard,326.14,326.14,APHA 4500-P-H,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,mg/l,APHA 4500-P-H,4500 P H ~ Manual Digestion and Flow Injection Analysis for Total Phosphorus,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-H,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,APHA 4500-P-H,4500 P H ~ Manual Digestion and Flow Injection Analysis for Total Phosphorus,,-1.00E+06,-1.00E+06,discard,1000,1000,APHA 4500-P-H,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
"Total Phosphorus, mixed forms",mg/l,,APHA 4500-P-H,4500 P H ~ Manual Digestion and Flow Injection Analysis for Total Phosphorus,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-H,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphate-phosphorus,mg/l,,APHA 4500-P-J,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,1000,1000,,326.14,326.14,APHA 4500-P-J,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,APHA 4500-P-J,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,1000,1000,,1000,1000,APHA 4500-P-J,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,MPN/100ml,,APHA 9223-B,9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,units_fail,,
Phosphorus,mg/l,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,,-1.00E+06,-1.00E+06,Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1000,1000,EPA 200.7,,https://www.epa.gov/sites/default/files/2015-06/documents/epa-200.7.pdf
Phosphorus,mg/l,,AZDEQ_SW EPA 351.3,EPA 351.3,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail; TKN,,
Phosphorus,mg/l,mg/l,AZDEQ_SW EPA 365.1,EPA 365.1,,-1.00E+06,-1.00E+06,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,ug/l,ug/l,AZDEQ_SW EPA 365.1,EPA 365.1,,-1.00E+06,-1.00E+06,,1,1,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,mg/l,mg/l,AZDEQ_SW EPA 365.2,EPA 365.2,,1000,1000,"Phosphorus, All Forms (Colorimetric, Ascorbic Acid, Single Reagent)",1000,1000,EPA 365.2,,https://www.nemi.gov/methods/method_summary/5254/
Phosphorus,mg/kg,mg/kg,AZDEQ_SW EPA 365.3,EPA 365.3,,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,units_fail,,
Phosphorus,mg/kg,,AZDEQ_SW EPA 365.3,EPA 365.3,,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,units_fail,,
Phosphorus,mg/l,mg/l,AZDEQ_SW EPA 365.3,EPA 365.3,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,AZDEQ_SW EPA 365.3,EPA 365.3,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/kg,mg/kg,AZDEQ_SW EPA 365.3 MOD,EPA 365.3 MOD,,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,units_fail,,
Phosphorus,mg/kg,,AZDEQ_SW EPA 365.3 MOD,EPA 365.3 MOD,,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,units_fail,,
Phosphorus,mg/l,mg/l,AZDEQ_SW EPA 365.3 MOD,EPA 365.3 MOD,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,AZDEQ_SW EPA 365.3 MOD,EPA 365.3 MOD,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/kg,mg/kg,AZDEQ_SW EPA 365.4,EPA 365.4,,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,units_fail,,
Phosphorus,mg/l,mg/l,AZDEQ_SW EPA 365.4,EPA 365.4,,1000,1000,,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,mg/l,mg/l,AZDEQ_SW SM 4500 PE,SM 4500 PE,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/kg,mg/kg,AZDEQ_SW SM 4500-P BE,SM 4500-P BE,,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,units_fail,,
Phosphorus,mg/l,mg/l,AZDEQ_SW SM 4500-P BE,SM 4500-P BE,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,AZDEQ_SW SM 4500NO3,SM 4500NO3,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail,,
Phosphate-phosphorus,mg/l,,AZDEQ_SW UNKNOWN,UNKNOWN,,-1.00E+06,-1.00E+06,discard,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,mg/l,AZDEQ_SW UNKNOWN,UNKNOWN,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,AZDEQ_SW UNKNOWN,UNKNOWN,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,CEDEN 125,EPA 365.1M,,-1.00E+06,-1.00E+06,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,mg/l,,CEDEN 134,EPA 365.3M,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,CEDEN 181,EPA 365.4,,1000,1000,,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,mg/l,mg/l,CEDEN 22,EPA 365.3,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,CEDEN 22,EPA 365.3,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,mg/l,CEDEN 231,QC 10115012B,,1000,1000,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,CEDEN 5186,Hach Method 8190,,1000,1000,,1000,1000,HACH 8190,,https://www.hach.com/asset-get.download-en.jsa?id=7639983838
Phosphorus,mg/l,mg/l,CEDEN 5216,SM 4500-P H,,-1.00E+06,-1.00E+06,discard,1000,1000,APHA 4500-P-H,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,CEDEN 5216,SM 4500-P H,,1000,1000,,1000,1000,APHA 4500-P-H,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,CEDEN 78,QC 10115011D,,1000,1000,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,mg/l,CEDEN 97,SM 4500-P E,,-1.00E+06,-1.00E+06,discard,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,CEDEN 97,SM 4500-P E,,1000,1000,,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,CHATFLD M365.1,,,-1.00E+06,-1.00E+06,methods_fail,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,mg/l,,CHEROKEE CN_QAPP,,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,mg/l,CHEROKEE_WQX CN_QAPP,CN_QAPP,,1000,1000,,1000,1000,methods_WQX,,
Phosphorus,ug/l,,EPA_R7_WQX 2338.03,Nutrient Analysis,,1,1,,1,1,methods_WQX,,
Phosphorus,ug/l,,EPA_R7_WQX 2338.03A,Nutrient Analysis,,1,1,,1,1,methods_WQX,,
Phosphorus,mg/l,,EPA_R7_WQX TP W.4F,Phosphorus,,1000,1000,,1000,1000,misc; TP,,
Phosphate-phosphorus,mg/l,mg/l,HACH 10209,"Phosphorus, Reactive (Orthophosphate) Ascorbic Acid Method",,-1.00E+06,-1.00E+06,discard,-1.00E+06,-1.00E+06,methods_fail; orthoP,,
Phosphorus,mg/l,,HACH 10209,"Phosphorus, Reactive (Orthophosphate) Ascorbic Acid Method",,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_fail; orthoP,,
Phosphorus,mg/l,,HACH 10210,"Phosphorus, Total Ascorbic Acid Method",,1000,1000,,1000,1000,HACH 10210,,https://www.hach.com/asset-get.download-en.jsa?id=7639983842
Phosphorus,mg/l,,MNPCA 4500-P-I (F),In-line UV/Persulfate Digestion and Flow Injection Analysis for Total Phosphorus (F),,1000,1000,,1000,1000,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,MNPCA LEG_P00665,"PHOSPHORUS, TOTAL (MG/L AS P)",,1000,1000,,1000,1000,misc; TP,,
Phosphate-phosphorus,mg/l,mg/l,MONT_DEQ_WQX HISTORIC-MONT-DEQ,Historic Procedure,,-1.00E+06,-1.00E+06,discard,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,,MONT_DEQ_WQX HISTORIC-MONT-DEQ,Historic Procedure,,-1.00E+06,-1.00E+06,discard,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,NA NA,,,-1.00E+06,-1.00E+06,discard,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphate-phosphorus,mg/l,,NA NA,,650,-1.00E+06,-1.00E+06,orthophosphate,326.14,326.14,USGS 00650,"Phosphate, water, unfiltered, milligrams per liter as PO4",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00650&fmt=html
Phosphate-phosphorus,mg/l,,NA NA,,653,-1.00E+06,-1.00E+06,"Ions, water, filtered, automated ion-exchange chromatography (NRP and CO WSC)",326.14,326.14,USGS 00653,"Phosphate, water, filtered, milligrams per liter as PO4",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00653&fmt=html
Phosphate-phosphorus,mg/l,,NA NA,,,-1.00E+06,-1.00E+06,unknown,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphate-phosphorus,ug/l,,NA NA,,,-1.00E+06,-1.00E+06,discard,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,NA NA,,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l as P,mg/l as P,NA NA,,665,-1.00E+06,-1.00E+06,unclear,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
